name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
clinbid 150mg capsule,clinbid,Treatment of Bacterial infections,ANTI,114,399,Lupin,150mg,syrup,true
cefusin cv 500mg/125mg tablet,cefusin,Treatment of Bacterial infections,ANTI,190,144,Cipla,500mg,capsule,false
citimine p 500mg/800mg tablet,citimine,Stroke,NEURO,80,308,Sun Pharma,500mg,tablet,true
cefgem 200mg tablet,cefgem,Treatment of Bacterial infections,ANTI,159,310,Abbott,200mg,tablet,true
ctax t 100mg tablet,ctax,Treatment of Bacterial infections,ANTI,21,380,Lupin,100mg,tablet,false
cypozex-t syrup sugar free,cypozex-t,Appetite stimulant,VITAMINS,77,441,Sun Pharma,500mg,tablet,true
carina 50mg dry syrup,carina,Treatment of Bacterial infections,ANTI,76,160,Abbott,50mg,syrup,false
cemylo plus 4mg/50mg tablet,cemylo,Pain due to muscle spasm,PAIN,126,394,Cipla,4mg,tablet,true
cifimark lb 200mg tablet,cifimark,Bacterial infections,ANTI,162,74,Cipla,200mg,capsule,true
crovital 1500mcg injection,crovital,Vitamin B12 deficiency,VITAMINS,163,354,Torrent,250mg,capsule,false
cefotrex injection,cefotrex,Treatment of Bacterial infections,ANTI,99,467,Abbott,200mg,capsule,false
citiwin 500mg injection,citiwin,Treatment of Stroke,NEURO,58,340,Abbott,500mg,injection,false
clovcort 6mg tablet,clovcort,Treatment of Inflammatory conditions,HORMONES,111,151,Cipla,6mg,injection,true
capzyme 3d tablet,capzyme,Pain relief,PAIN,51,476,Cipla,500mg,injection,false
clonec p 50mg/325mg oral suspension,clonec,Pain relief,PAIN,90,474,Sun Pharma,50mg,tablet,false
coldvue tablet,coldvue,Treatment of Common cold,RESPIRATORY,94,392,Sun Pharma,200mg,capsule,true
clonavish 0.5mg tablet md,clonavish,Treatment of Anxiety disorder,NEURO,96,208,Dr Reddy,5mg,injection,true
clonavish 0.25 tablet md,clonavish,Treatment of Anxiety disorder,NEURO,104,302,Cipla,500mg,capsule,true
cliptrax 500mg injection,cliptrax,Treatment of Bacterial infections,ANTI,133,214,Sun Pharma,500mg,tablet,true
carvitab 6.25 tablet,carvitab,Treatment of Hypertension (high blood pressure),CARDIAC,30,182,Zydus,200mg,injection,false
ceftaseep 250mg tablet,ceftaseep,Treatment of Bacterial infections,ANTI,161,497,Lupin,250mg,tablet,false
capcillin capsule,capcillin,Bacterial infections,ANTI,121,236,Zydus,250mg,syrup,true
clomicite tablet,clomicite,Female infertility,GYNAECOLOGICAL,100,477,Torrent,500mg,tablet,true
citofast 20mg tablet,citofast,Treatment of Depression,NEURO,183,177,Alkem,20mg,syrup,true
coxwin 3fd 450 mg/300 mg/800 mg tablet,coxwin,Treatment of Tuberculosis (TB),ANTI,83,154,Abbott,450 mg,tablet,true
citimed cold syrup,citimed,Treatment of Common cold,RESPIRATORY,160,95,Torrent,100mg,syrup,true
cepdox 125mg suspension,cepdox,Treatment of Bacterial infections,ANTI,37,359,Alkem,125mg,capsule,true
coxwin 2 tablet,coxwin,Treatment of Tuberculosis (TB),ANTI,125,384,Mankind,250mg,capsule,true
card at 5 mg/50 mg tablet,card,Treatment of Hypertension (high blood pressure),CARDIAC,92,389,Zydus,5 mg,syrup,false
ccliya 50 mg tablet,ccliya,Female infertility,GYNAECOLOGICAL,179,423,Mankind,50 mg,tablet,false
cure e 800mg tablet,cure,Tuberculosis (TB),ANTI,187,203,Torrent,800mg,syrup,true
centapres 5 tablet,centapres,Treatment of Hypertension (high blood pressure),CARDIAC,175,272,Mankind,650mg,injection,false
carmuta 450mg injection,carmuta,Ovarian cancer,ANTI,23,206,Abbott,450mg,injection,false
cefoat s 250 mg/125 mg injection,cefoat,Bacterial infections,ANTI,140,226,Mankind,250 mg,capsule,false
cormox plus 250 mg/250 mg capsule,cormox,Treatment of Bacterial infections,ANTI,178,429,Mankind,250 mg,tablet,false
ceriton 3000iu injection,ceriton,Treatment of Anemia due to chronic kidney disease,BLOOD,190,354,Lupin,100mg,tablet,false
cipowin 500mg tablet,cipowin,Treatment of Bacterial infections,GASTRO,80,96,Lupin,500mg,capsule,false
cewar 1000mg injection,cewar,Treatment of Bacterial infections,ANTI,25,169,Alkem,1000mg,syrup,false
chemobort injection,chemobort,Multiple myeloma,ANTI,54,412,Sun Pharma,100mg,capsule,false
cefuact 125mg syrup,cefuact,Treatment of Bacterial infections,ANTI,33,410,Lupin,125mg,injection,true
clotriz 1% dusting powder,clotriz,Treatment of Fungal skin infections,DERMA,86,397,Torrent,250mg,syrup,true
citelec od 1000mg tablet,citelec,Treatment of Stroke,NEURO,40,359,Cipla,1000mg,syrup,false
cinpar 12.5mg tablet cr,cinpar,Treatment of Depression,NEURO,163,213,Zydus,5mg,capsule,false
croser-d 75mg/15mg tablet,croser-d,Pain relief,PAIN,26,225,Abbott,75mg,syrup,true
cizonil 5mg tablet,cizonil,Schizophrenia,NEURO,34,109,Lupin,5mg,tablet,false
c-fx 200mg tablet,c-fx,Treatment of Bacterial infections,ANTI,174,406,Lupin,200mg,capsule,false
cydil tablet,cydil,Treatment of Allergic conditions,VITAMINS,31,71,Mankind,200mg,capsule,true
cetrish 10mg tablet,cetrish,Treatment of Allergic conditions,RESPIRATORY,173,269,Zydus,10mg,tablet,true
ceftobac tablet,ceftobac,Bacterial infections,ANTI,112,96,Alkem,250mg,capsule,false
cipropen tz 500 mg/600 mg tablet,cipropen,Treatment of Bacterial & parasitic infections,GASTRO,37,408,Sun Pharma,500 mg,tablet,true
cortidef 6mg tablet,cortidef,Treatment of Inflammatory conditions,HORMONES,195,390,Lupin,6mg,tablet,false
ciprozet eye drop,ciprozet,Bacterial eye infections,OPHTHAL,88,113,Mankind,250mg,syrup,false
cefogram 250mg injection,cefogram,Treatment of Bacterial infections,ANTI,91,86,Alkem,250mg,syrup,true
clasifix 200mg tablet,clasifix,Treatment of Bacterial infections,ANTI,87,73,Zydus,200mg,tablet,true
combitide 50mcg/100mcg inhaler,combitide,Treatment of Chronic obstructive pulmonary disease (COPD),RESPIRATORY,182,457,Lupin,250mg,syrup,false
clavcare ds 500 mg/125 mg dry syrup,clavcare,Treatment of Bacterial infections,ANTI,64,168,Sun Pharma,500 mg,syrup,false
chupp soft gelatin capsule,chupp,Treatment of Cough with mucus,RESPIRATORY,56,296,Torrent,100mg,capsule,false
cefactin 250mg tablet,cefactin,Treatment of Bacterial infections,ANTI,73,365,Dr Reddy,250mg,injection,true
celzar 1400mg injection,celzar,Non-small cell lung cancer,ANTI,110,455,Mankind,1400mg,injection,false
celsuf 500 mg/500 mg injection,celsuf,Treatment of Bacterial infections,ANTI,157,227,Mankind,500 mg,tablet,true
clavlin 500 mg/125 mg tablet,clavlin,Treatment of Bacterial infections,ANTI,107,332,Abbott,500 mg,syrup,true
cymate 1000mcg injection,cymate,Vitamin B12 deficiency,VITAMINS,57,222,Alkem,200mg,capsule,false
cipalgo 500mg tablet,cipalgo,Treatment of Bacterial infections,GASTRO,163,341,Zydus,500mg,injection,false
cefmagic 100mg tablet dt,cefmagic,Treatment of Bacterial infections,ANTI,180,176,Mankind,100mg,syrup,false
cefucare 250mg tablet dt,cefucare,Bacterial infections,ANTI,31,420,Lupin,250mg,injection,false
cetlar 10mg capsule,cetlar,Treatment of Allergic conditions,RESPIRATORY,187,472,Alkem,10mg,injection,false
contraflam p 37.5mg/325mg tablet,contraflam,Moderate to severe pain,PAIN,154,261,Zydus,5mg,tablet,true
cetolide plus 100mg/15mg tablet,cetolide,Pain relief,PAIN,42,59,Dr Reddy,100mg,syrup,true
