name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
lapan d 30mg/40mg capsule sr,lapan,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,63,64,Sun Pharma,30mg,injection,true
levotrine m 5mg/10mg tablet,levotrine,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,37,379,Sun Pharma,5mg,capsule,true
livolox tablet,livolox,Treatment of Bacterial infections,OPHTHAL,169,204,Mankind,500mg,injection,true
loftinec 200mg tablet sr,loftinec,Pain relief,PAIN,53,148,Cipla,200mg,syrup,true
lukazine syrup,lukazine,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,74,210,Zydus,100mg,injection,true
luzodin 1% cream,luzodin,Treatment of Fungal skin infections,DERMA,137,293,Abbott,250mg,tablet,true
losa-h tablet,losa-h,Treatment of Hypertension (high blood pressure),CARDIAC,179,221,Abbott,500mg,tablet,false
lepure-m tablet,lepure-m,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,75,346,Mankind,500mg,capsule,false
luzon 2.5 tablet,luzon,Treatment of Short term anxiety,RESPIRATORY,44,124,Alkem,650mg,capsule,false
lycitra mk syrup,lycitra,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,59,236,Lupin,250mg,injection,true
levohold 10mg tablet,levohold,Treatment of Allergic conditions,RESPIRATORY,123,211,Sun Pharma,10mg,capsule,false
liftense md 0.5 tablet,liftense,Treatment of Anxiety disorder,NEURO,156,460,Sun Pharma,650mg,tablet,false
lotdryl ls syrup,lotdryl,Chronic obstructive pulmonary disease (COPD),RESPIRATORY,173,133,Cipla,250mg,tablet,false
lyceclav 625 tablet,lyceclav,Treatment of Bacterial infections,ANTI,97,176,Lupin,100mg,syrup,true
livcilno m 10mg/50mg tablet er,livcilno,Hypertension (high blood pressure),CARDIAC,38,83,Lupin,10mg,tablet,true
levosil m 5mg/10mg tablet,levosil,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,70,431,Zydus,5mg,injection,false
levesam xr 1gm tablet,levesam,Treatment of Epilepsy/Seizures,NEURO,96,412,Cipla,100mg,capsule,false
loxam 250mg/250mg capsule,loxam,Bacterial infections,ANTI,57,243,Mankind,250mg,tablet,false
loxcip-dx eye drops,loxcip-dx,Treatment of Bacterial eye infections,OPHTHAL,156,323,Dr Reddy,650mg,tablet,false
lifecef cp 500mg/125mg tablet,lifecef,Treatment of Bacterial infections,ANTI,140,299,Sun Pharma,500mg,capsule,false
lenexim 100mg tablet,lenexim,Treatment of Bacterial infections,ANTI,131,387,Dr Reddy,100mg,syrup,false
lamizine 100mg tablet,lamizine,Epilepsy/Seizures,NEURO,181,348,Dr Reddy,100mg,tablet,false
lorfit 8mg tablet,lorfit,Pain relief,PAIN,35,329,Abbott,8mg,syrup,false
ligcet 5mg tablet,ligcet,Treatment of Allergic conditions,RESPIRATORY,55,385,Dr Reddy,5mg,injection,false
lyzin 50mg tablet,lyzin,Epilepsy/Seizures,NEURO,65,153,Torrent,50mg,tablet,true
lucet m kid 2.5mg/4mg tablet,lucet,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,134,365,Zydus,5mg,capsule,false
leeconi 5mg tablet,leeconi,Treatment of Allergic conditions,RESPIRATORY,79,347,Abbott,5mg,injection,true
levend 500mg tablet,levend,Treatment of Bacterial infections,OPHTHAL,176,358,Torrent,500mg,injection,false
