name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
gasacid-o oral suspension sugar free,gasacid-o,Treatment of Acidity,GASTRO,180,370,Sun Pharma,200mg,capsule,true
gembin 200mg injection,gembin,Non-small cell lung cancer,ANTI,155,289,Sun Pharma,200mg,tablet,true
gynogen 150iu injection,gynogen,Female infertility,GYNAECOLOGICAL,139,176,Mankind,650mg,capsule,true
glimfirst-m 1 tablet sr,glimfirst-m,Treatment of Type 2 diabetes mellitus,ANTI,129,297,Alkem,500mg,tablet,true
gemitab 320 mg tablet,gemitab,Bacterial infections,GASTRO,71,214,Torrent,320 mg,capsule,true
glicort 6 tablet,glicort,Treatment of Inflammatory conditions,HORMONES,164,362,Abbott,650mg,capsule,false
glycirest-g1 tablet sr,glycirest-g1,Treatment of Type 2 diabetes mellitus,ANTI,180,445,Torrent,100mg,syrup,true
gifate 500mg oral suspension,gifate,Treatment of Intestinal ulcers,GASTRO,41,345,Zydus,500mg,injection,true
glimiflo mv 2 tablet pr,glimiflo,Treatment of Type 2 diabetes mellitus,ANTI,117,302,Sun Pharma,200mg,capsule,false
getup 50mg tablet,getup,Treatment of Erectile dysfunction,SEX,129,328,Sun Pharma,50mg,tablet,true
greclox lb capsule,greclox,Bacterial infections,ANTI,32,255,Cipla,100mg,syrup,false
gesimos p 100mg/325mg tablet,gesimos,Pain relief,PAIN,27,224,Zydus,100mg,capsule,false
glimac-m2 tablet sr,glimac-m2,Treatment of Type 2 diabetes mellitus,ANTI,63,452,Mankind,650mg,injection,false
gabyne n 400mg/10mg tablet,gabyne,Treatment of Neuropathic pain,NEURO,57,456,Torrent,400mg,syrup,false
gat p eye drop,gat,Treatment of Bacterial eye infections,OPHTHAL,193,55,Alkem,200mg,syrup,false
gramoneg m 150 mg/100 mg suspension,gramoneg,Treatment of Bacterial infections,GASTRO,58,266,Sun Pharma,150 mg,syrup,false
glyfine m 80mg/500mg tablet,glyfine,Treatment of Type 2 diabetes mellitus,ANTI,174,325,Cipla,80mg,tablet,false
gestolife 200mg tablet sr,gestolife,Hormone replacement therapy,GYNAECOLOGICAL,112,316,Mankind,200mg,syrup,false
gabaleed nt 400mg/10mg tablet,gabaleed,Treatment of Neuropathic pain,NEURO,105,230,Lupin,400mg,capsule,false
glimrex-m2 tablet pr,glimrex-m2,Treatment of Type 2 diabetes mellitus,ANTI,156,267,Sun Pharma,200mg,injection,false
garidox-lb tablet,garidox-lb,Treatment of Bacterial infections,ANTI,115,178,Mankind,500mg,tablet,false
gabasul-pm capsule,gabasul-pm,Treatment of Neuropathic pain,NEURO,100,72,Alkem,500mg,tablet,false
