name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
awnacobal 500mcg injection,awnacobal,Vitamin B12 deficiency,VITAMINS,147,186,Mankind,650mg,tablet,false
amty 10mg tablet,amty,Treatment of Depression,NEURO,21,96,Lupin,10mg,tablet,false
azolbest 200 capsule,azolbest,Treatment of Fungal infections,OPHTHAL,173,72,Lupin,250mg,capsule,true
atorbay 40mg tablet,atorbay,High cholesterol,CARDIAC,31,252,Sun Pharma,40mg,capsule,false
adival 125mg tablet er,adival,Treatment of Epilepsy/Seizures,NEURO,51,383,Zydus,125mg,tablet,true
acemove-p suspension,acemove-p,Treatment of Fever,PAIN,53,419,Cipla,200mg,capsule,true
acispas 20mg/325mg tablet,acispas,Treatment of Abdominal pain,GASTRO,73,208,Alkem,20mg,tablet,false
acezo p syrup,acezo,Treatment of Fever,PAIN,72,84,Torrent,650mg,capsule,true
actiderm 200mg capsule,actiderm,Treatment of Fungal infections,OPHTHAL,165,97,Zydus,200mg,syrup,true
ancin 100mg injection,ancin,Bacterial infections,OPHTHAL,29,132,Alkem,100mg,injection,false
aztil 200mg oral suspension,aztil,Treatment of Bacterial infections,ANTI,161,102,Alkem,200mg,injection,false
amisym 500mg injection,amisym,Bacterial infections,OPHTHAL,24,148,Mankind,500mg,capsule,false
arkaval tablet cr 133mg/58mg,arkaval,Epilepsy,NEURO,190,186,Mankind,133mg,capsule,false
alvox 500mg tablet,alvox,Treatment of Bacterial infections,OPHTHAL,151,437,Dr Reddy,500mg,syrup,false
artfin 50mg tablet,artfin,Malaria,ANTI,173,353,Alkem,50mg,syrup,false
acelomag p 100mg/500mg tablet,acelomag,Pain relief,PAIN,152,192,Cipla,100mg,injection,true
azrocin 100mg tablet dt,azrocin,Treatment of Bacterial infections,ANTI,160,336,Torrent,100mg,syrup,false
aceof od 200mg/500mg tablet,aceof,Treatment of Bacterial & parasitic infections,GASTRO,79,397,Torrent,200mg,injection,false
atolis 10mg tablet,atolis,High cholesterol,CARDIAC,161,294,Cipla,10mg,capsule,false
