name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
car-race 5mg tablet,car-race,Treatment of Hypertension (high blood pressure),CARDIAC,143,353,Sun Pharma,5mg,capsule,true
clavosis 500 mg/125 mg tablet,clavosis,Treatment of Bacterial infections,ANTI,89,292,Cipla,500 mg,syrup,false
carlev 150mg/2.5mg tablet,carlev,Treatment of Filariasis,ANTI,147,393,Abbott,150mg,tablet,false
clomed es 0.5mg/10mg tablet,clomed,Treatment of Anxiety disorder,NEURO,39,213,Cipla,5mg,tablet,false
cofrex-q syrup,cofrex-q,Treatment of Cough,RESPIRATORY,78,323,Sun Pharma,500mg,tablet,false
conazit 100 capsule,conazit,Treatment of Fungal infections,OPHTHAL,117,381,Zydus,200mg,injection,false
cefaprime 1500mg injection,cefaprime,Treatment of Bacterial infections,ANTI,154,245,Dr Reddy,1500mg,syrup,false
carina lb 200mg tablet,carina,Bacterial infections,ANTI,83,78,Abbott,200mg,tablet,false
ceplox 250mg tablet,ceplox,Treatment of Bacterial infections,GASTRO,118,172,Sun Pharma,250mg,injection,false
cefastar cv 100mg/62.5mg tablet,cefastar,Treatment of Respiratory tract infection,ANTI,192,235,Torrent,100mg,injection,true
candex 2% cream,candex,Treatment of Fungal skin infections,DERMA,166,77,Abbott,250mg,syrup,true
codomolindon 500 mg/10 mg tablet,codomolindon,Pain relief,RESPIRATORY,33,427,Mankind,500 mg,tablet,false
citinerve tablet,citinerve,Treatment of Stroke,NEURO,193,493,Torrent,650mg,syrup,true
carbokem novo 150mg injection,carbokem,Ovarian cancer,ANTI,183,478,Cipla,150mg,capsule,false
citrax lm 5mg/10mg tablet,citrax,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,150,293,Cipla,5mg,capsule,true
cefrace 250mg tablet,cefrace,Treatment of Bacterial infections,ANTI,78,206,Mankind,250mg,capsule,false
ceft 200mg tablet,ceft,Treatment of Bacterial infections,ANTI,104,324,Zydus,200mg,injection,true
cyprotol 4mg tablet,cyprotol,Treatment of Allergic conditions,VITAMINS,115,60,Zydus,4mg,syrup,true
cefanz o 200mg/200mg tablet,cefanz,Treatment of Bacterial infections,ANTI,162,209,Mankind,200mg,tablet,true
clith 500mg tablet,clith,Treatment of Bacterial infections,ANTI,63,497,Sun Pharma,500mg,syrup,false
cymed syrup,cymed,Treatment of Allergic conditions,VITAMINS,38,96,Dr Reddy,500mg,injection,true
cyponol syrup,cyponol,Appetite stimulant,VITAMINS,170,254,Torrent,650mg,capsule,false
cadmet trio 10mg/50mg/40mg tablet,cadmet,Hypertension (high blood pressure),CARDIAC,75,149,Lupin,10mg,capsule,false
clear all z medicated soap,clear,Treatment of Fungal skin infections,DERMA,41,309,Cipla,100mg,injection,true
cofodd d syrup,cofodd,Treatment of Dry cough,RESPIRATORY,99,122,Zydus,200mg,syrup,false
clival n gel,clival,Treatment of Acne,DERMA,187,230,Alkem,500mg,syrup,false
cefo ds 1000mg/500mg injection,cefo,Treatment of Bacterial infections,ANTI,186,94,Lupin,1000mg,syrup,false
carithrotic 250mg tablet,carithrotic,Treatment of Bacterial infections,ANTI,194,59,Torrent,250mg,syrup,true
cafe cof plus syrup,cafe,Cough with mucus,RESPIRATORY,44,391,Sun Pharma,250mg,capsule,false
cofmin d syrup,cofmin,Treatment of Dry cough,RESPIRATORY,41,94,Mankind,650mg,syrup,true
clomic-n cream,clomic-n,Treatment of Skin infections,DERMA,96,303,Alkem,650mg,tablet,false
ceformed o tablet,ceformed,Treatment of Bacterial infections,ANTI,195,310,Cipla,650mg,tablet,false
cont-hhc tablet,cont-hhc,Nutritional deficiencies,VITAMINS,189,412,Torrent,650mg,capsule,true
celrab-d capsule sr,celrab-d,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,70,266,Sun Pharma,650mg,capsule,true
citolin 500 tablet,citolin,Treatment of Stroke,NEURO,92,491,Torrent,250mg,tablet,true
cymax o 200mg/200mg tablet,cymax,Treatment of Bacterial infections,ANTI,41,190,Zydus,200mg,capsule,false
cdpin 20 tablet,cdpin,Treatment of Hypertension (high blood pressure),CARDIAC,47,320,Sun Pharma,200mg,injection,true
cilnicab 20mg tablet,cilnicab,Treatment of Hypertension (high blood pressure),CARDIAC,122,154,Alkem,20mg,injection,true
clonopam 1mg tablet,clonopam,Treatment of Anxiety disorder,NEURO,94,465,Mankind,1mg,capsule,true
c kof 4 mg/10 mg syrup,c,Dry cough,RESPIRATORY,198,74,Torrent,4 mg,tablet,false
clcd ear drop,clcd,Treatment of Ear infection,OTOLOGICALS,124,130,Dr Reddy,100mg,capsule,true
chymin forte 100000iu tablet,chymin,Pain relief,PAIN,73,347,Abbott,250mg,tablet,false
cetvin-lm 5mg/10mg tablet,cetvin-lm,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,90,221,Zydus,5mg,injection,true
cirovin 0.1% w/v nasal drops,cirovin,Nasal congestion (blocked nose),RESPIRATORY,101,63,Torrent,250mg,tablet,true
clairmel cream,clairmel,Melasma,DERMA,175,202,Sun Pharma,650mg,syrup,false
c lb 200mg tablet,c,Bacterial infections,ANTI,188,201,Torrent,200mg,tablet,false
coxi 200mg tablet,coxi,Treatment of Bacterial infections,ANTI,42,135,Abbott,200mg,capsule,true
conazol 150mg capsule,conazol,Treatment of Fungal infections,ANTI,140,386,Alkem,150mg,syrup,true
clotnil 75mg tablet,clotnil,Prevention of heart attack and stroke,BLOOD,90,361,Torrent,75mg,syrup,true
clav 200mg/28.5mg tablet dt,clav,Treatment of Resistance Tuberculosis (TB),ANTI,154,178,Torrent,200mg,tablet,true
clever 5mg tablet,clever,Treatment of Allergic conditions,RESPIRATORY,188,140,Dr Reddy,5mg,capsule,false
cefurin 250mg tablet,cefurin,Treatment of Bacterial infections,ANTI,185,126,Torrent,250mg,tablet,false
chymowin dp tablet,chymowin,Pain relief,PAIN,64,109,Sun Pharma,200mg,capsule,false
cufax-ls syrup,cufax-ls,Treatment of Cough with mucus,RESPIRATORY,45,500,Alkem,250mg,capsule,false
cetrazyn 5mg tablet,cetrazyn,Treatment of Allergic conditions,RESPIRATORY,195,412,Zydus,5mg,injection,true
cilnip tm 10mg/40mg tablet,cilnip,Treatment of Hypertension (high blood pressure),CARDIAC,115,274,Cipla,10mg,syrup,true
clonec p 100mg/325mg tablet,clonec,Pain relief,PAIN,62,371,Torrent,100mg,tablet,false
cartidure tablet,cartidure,Osteoarthritis,PAIN,105,404,Mankind,650mg,tablet,false
citipride-sr tablet,citipride-sr,Gastroesophageal reflux disease (Acid reflux),GASTRO,72,400,Torrent,100mg,syrup,true
cefuright 500 tablet,cefuright,Treatment of Bacterial infections,ANTI,119,328,Sun Pharma,250mg,syrup,true
cpod cv 200mg/125mg tablet,cpod,Treatment of Respiratory tract infection,ANTI,140,249,Dr Reddy,200mg,capsule,true
