name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
zotoin 100mg tablet,zotoin,Treatment and prevention of Epilepsy/Seizures,NEURO,154,483,Zydus,100mg,capsule,true
zolichem tablet,zolichem,Treatment of Severe bacterial infections,ANTI,144,358,Torrent,200mg,injection,false
zidolin injection,zidolin,Treatment of Severe bacterial infections,ANTI,182,261,Mankind,100mg,capsule,false
zitelmi m  40mg/50mg tablet,zitelmi,Treatment of Hypertension (high blood pressure),CARDIAC,31,143,Abbott,40mg,injection,true
zilee oz 250 mg/500 mg tablet,zilee,Diarrhea,GASTRO,24,279,Lupin,250 mg,capsule,true
zoflick  oz 200mg/500mg tablet,zoflick,Treatment of Bacterial & parasitic infections,GASTRO,120,334,Dr Reddy,200mg,injection,false
zynacar 800 tablet,zynacar,High phosphate levels in blood,OTHERS,29,299,Alkem,650mg,injection,true
zalide 100 mg/2 mg tablet,zalide,Treatment of Pain due to muscle spasm,PAIN,73,460,Mankind,100 mg,injection,true
zolaco 100mg tablet,zolaco,Epilepsy/Seizures,NEURO,101,386,Lupin,100mg,syrup,false
zy dsr capsule,zy,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,112,336,Mankind,100mg,syrup,true
zercan 200 capsule,zercan,Treatment of Fungal infections,OPHTHAL,118,280,Sun Pharma,100mg,syrup,false
zolcef-s 500mg/500mg injection,zolcef-s,Treatment of Bacterial infections,ANTI,110,84,Dr Reddy,500mg,syrup,false
zidocef 1gm injection,zidocef,Bacterial infections,ANTI,125,312,Mankind,200mg,capsule,true
zeset 4mg tablet,zeset,Treatment of Nausea,GASTRO,137,409,Zydus,4mg,injection,false
ziclof-s tablet,ziclof-s,Pain relief,PAIN,120,265,Torrent,250mg,capsule,true
zyrcet-lc 5mg tablet,zyrcet-lc,Treatment of Allergic conditions,RESPIRATORY,198,243,Alkem,5mg,tablet,false
zilide xl 200mg oral suspension,zilide,Treatment of Bacterial infections,ANTI,196,60,Dr Reddy,200mg,tablet,true
zegrid 20mg tablet,zegrid,Gastroesophageal reflux disease (Acid reflux),GASTRO,63,221,Torrent,20mg,injection,false
zee 2mg tablet,zee,Treatment of Anxiety disorder,NEURO,191,148,Lupin,2mg,syrup,true
zoxin s 1000 mg/500 mg injection,zoxin,Bacterial infections,ANTI,74,151,Cipla,1000 mg,capsule,true
zenol dsr capsule,zenol,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,182,246,Mankind,650mg,capsule,false
zelid plus suspension,zelid,Pain relief,PAIN,191,326,Dr Reddy,250mg,capsule,true
zoe oz tablet,zoe,Treatment of Diarrhea,GASTRO,193,327,Alkem,100mg,injection,true
zelid suspension,zelid,Pain relief,PAIN,65,173,Sun Pharma,250mg,capsule,false
zyfix 100mg dry syrup,zyfix,Treatment of Bacterial infections,ANTI,47,265,Sun Pharma,100mg,injection,false
zilatax ct 40mg/12.5mg tablet,zilatax,Hypertension (high blood pressure),CARDIAC,97,263,Alkem,40mg,capsule,true
zulton 40mg tablet,zulton,Treatment of Hypertension (high blood pressure),CARDIAC,28,297,Abbott,40mg,syrup,false
zax-s 1000mg/500mg injection,zax-s,Bacterial infections,ANTI,64,289,Abbott,1000mg,tablet,true
zumazi 250 tablet,zumazi,Bacterial infections,ANTI,164,330,Sun Pharma,250mg,syrup,false
zonit 50mg tablet,zonit,Epilepsy/Seizures,NEURO,120,496,Mankind,50mg,capsule,true
zumcet m 5mg/10mg tablet,zumcet,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,64,112,Alkem,5mg,syrup,false
zivith 250 tablet,zivith,Treatment of Bacterial infections,ANTI,41,345,Abbott,100mg,tablet,true
zecet-p plus tablet,zecet-p,Treatment of Common cold,RESPIRATORY,41,344,Alkem,200mg,syrup,false
zitlite 10 capsule,zitlite,Treatment of Acne,DERMA,136,229,Cipla,650mg,capsule,true
zatro f 160mg/10mg tablet,zatro,Treatment of High cholesterol,CARDIAC,75,287,Alkem,160mg,capsule,false
zithway 500mg tablet,zithway,Treatment of Bacterial infections,ANTI,49,288,Cipla,500mg,syrup,false
zestine forte 16mg tablet,zestine,Treatment of Meniere's disease,NEURO,167,171,Dr Reddy,16mg,capsule,true
zeroket sp 100mg/325mg/15mg tablet,zeroket,Pain relief,PAIN,94,494,Sun Pharma,100mg,capsule,false
zicpalm 200 capsule,zicpalm,Treatment of Fungal infections,OPHTHAL,85,134,Lupin,200mg,injection,false
zoeclo p 100mg/325mg tablet,zoeclo,Pain relief,PAIN,167,469,Cipla,100mg,injection,false
zipon c 200mg/250mg tablet,zipon,Bacterial infections,ANTI,109,304,Torrent,200mg,injection,false
zithidel 500mg tablet,zithidel,Treatment of Bacterial infections,ANTI,162,430,Torrent,500mg,injection,false
zidlam tablet,zidlam,Treatment of Allergic conditions,RESPIRATORY,157,95,Mankind,500mg,injection,true
zynolid plus 100mg/325mg tablet,zynolid,Pain relief,PAIN,101,313,Mankind,100mg,tablet,true
zurox 250mg tablet,zurox,Treatment of Bacterial infections,ANTI,55,454,Sun Pharma,250mg,injection,true
zopex 50mg dry syrup,zopex,Treatment of Bacterial infections,ANTI,38,305,Cipla,50mg,syrup,false
zydiclo injection 3ml,zydiclo,Pain relief,PAIN,137,291,Sun Pharma,500mg,injection,false
z8 10mg tablet,z8,Treatment of Insomnia,NEURO,89,215,Lupin,10mg,injection,false
zylocef s 1000 mg/500 mg injection,zylocef,Bacterial infections,ANTI,78,83,Lupin,1000 mg,syrup,false
