name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
diosis 1000 tablet,diosis,Treatment of Indigestion,GASTRO,41,416,Mankind,500mg,injection,true
dox m oz tablet,dox,Treatment of Bacterial infections,ANTI,47,338,Mankind,500mg,capsule,true
dubolut 5mg tablet,dubolut,Treatment of Heavy menstrual bleeding,GYNAECOLOGICAL,155,309,Sun Pharma,5mg,tablet,false
dextrom syrup,dextrom,Treatment of Dry cough,RESPIRATORY,168,237,Zydus,250mg,tablet,true
drmazine 25 tablet,drmazine,Treatment of Anxiety,RESPIRATORY,147,280,Sun Pharma,500mg,capsule,true
davaindia cilostazol 50mg tablet,davaindia,Treatment of Intermittent claudication,CARDIAC,144,438,Alkem,50mg,capsule,true
denorange injection,denorange,Osteoporosis,PAIN,97,327,Mankind,200mg,capsule,true
donetaz ods 5 orally disintegrating strip,donetaz,Alzheimer's disease,NEURO,98,89,Cipla,100mg,injection,true
dipent 30mg/40mg tablet sr,dipent,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,39,256,Abbott,30mg,syrup,false
drosmac 20mcg tablet,drosmac,Contraception,GYNAECOLOGICAL,119,143,Torrent,100mg,capsule,false
depilox 100mg tablet,depilox,Depression,NEURO,29,86,Sun Pharma,100mg,injection,true
diomax dm 10 mg/20 mg tablet,diomax,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,36,414,Lupin,10 mg,capsule,true
doloxy-cv 625 tablet,doloxy-cv,Treatment of Bacterial infections,ANTI,104,315,Dr Reddy,250mg,injection,true
days sr 50mg/10mg tablet,days,Pain relief,PAIN,93,158,Alkem,50mg,tablet,true
dcg 300mg tablet,dcg,Treatment of Primary biliary cirrhosis,GASTRO,92,113,Mankind,300mg,syrup,false
dox-forte tablet,dox-forte,Treatment of Nausea and vomiting in pregnancy,GASTRO,116,281,Dr Reddy,200mg,injection,true
desvelaf plus 50mg/0.5mg tablet er,desvelaf,Treatment of Depression,NEURO,87,495,Mankind,50mg,injection,false
dayclazide mp 40 tablet,dayclazide,Treatment of Type 2 diabetes mellitus,ANTI,32,163,Alkem,250mg,capsule,false
dapaone-m 5mg/500mg tablet,dapaone-m,Treatment of Type 2 diabetes mellitus,ANTI,173,309,Alkem,5mg,syrup,true
doox-ldr capsule,doox-ldr,Treatment of Bacterial infections,ANTI,45,75,Dr Reddy,650mg,tablet,false
dapacad 10mg tablet,dapacad,Treatment of Type 2 diabetes mellitus,ANTI,81,291,Zydus,10mg,tablet,false
diclogesic spas tablet,diclogesic,Abdominal pain,GASTRO,196,324,Abbott,650mg,syrup,false
d febrol 20mg/500mg tablet,d,Treatment of Migraine,NEURO,155,144,Dr Reddy,20mg,tablet,false
duloxit 30mg tablet,duloxit,Treatment of Depression,NEURO,70,237,Abbott,30mg,syrup,true
dyloop plus 20 tablet,dyloop,Treatment of Edema,CARDIAC,70,358,Mankind,100mg,capsule,false
dronil m tablet,dronil,Treatment of Abdominal pain,GASTRO,141,385,Lupin,100mg,capsule,true
diclokem plus 50mg/325mg tablet,diclokem,Pain relief,PAIN,195,200,Abbott,50mg,tablet,false
dexarab 10mg tablet,dexarab,Heartburn,GASTRO,172,367,Mankind,10mg,capsule,false
domac 10 mg/500 mg tablet,domac,Treatment of Migraine,NEURO,23,106,Abbott,10 mg,syrup,true
doxyguard tablet,doxyguard,Treatment of Bacterial infections,ANTI,166,197,Mankind,500mg,tablet,true
diafur plus tablet,diafur,Diarrhea,GASTRO,152,431,Abbott,500mg,injection,true
detadura 50mg injection,detadura,Treatment of Post menopausal osteoporosis,HORMONES,64,254,Dr Reddy,50mg,injection,false
d 5% infusion,d,Treatment of Short term fluid replacement after trauma,RESPIRATORY,138,99,Sun Pharma,650mg,syrup,false
doliza 650mg tablet er,doliza,Pain relief,PAIN,159,463,Abbott,650mg,tablet,true
dotiwak mf 80mg/250mg tablet,dotiwak,Treatment of Abdominal pain,GASTRO,172,443,Zydus,80mg,injection,true
decare cream,decare,Skin conditions with inflammation & itching,DERMA,109,312,Mankind,250mg,syrup,false
dolteus 50mg injection,dolteus,Schizophrenia,NEURO,54,412,Abbott,50mg,injection,false
difee sp 100mg/325mg/15mg tablet,difee,Pain relief,PAIN,45,221,Dr Reddy,100mg,capsule,true
doiss dry syrup,doiss,Treatment of Resistance Tuberculosis (TB),ANTI,160,199,Sun Pharma,500mg,capsule,true
danavish nebivolol 5mg tablet,danavish,Treatment of Hypertension (high blood pressure),CARDIAC,45,459,Lupin,5mg,capsule,true
dulotin 60mg tablet,dulotin,Treatment of Depression,NEURO,62,362,Torrent,60mg,capsule,false
divigel 0.1% gel,divigel,Hormone replacement therapy,GYNAECOLOGICAL,153,443,Abbott,650mg,injection,false
doxovent 100mg syrup,doxovent,Treatment and prevention of Chronic obstructive pulmonary disease (COPD),RESPIRATORY,120,396,Cipla,100mg,injection,false
d zit soap,d,Skin infections,DERMA,48,387,Mankind,500mg,tablet,false
defzo 6 oral suspension raspberry & vanilla,defzo,Treatment of Inflammatory conditions,HORMONES,46,89,Abbott,200mg,syrup,true
defort 30mg tablet,defort,Treatment of Inflammatory conditions,HORMONES,122,276,Alkem,30mg,syrup,false
ditro 80mg tablet,ditro,Pain relief,GASTRO,132,64,Dr Reddy,80mg,tablet,true
doxymine tablet,doxymine,Treatment of Nausea and vomiting in pregnancy,GASTRO,189,345,Alkem,500mg,capsule,true
duodef 30mg tablet,duodef,Treatment of Depression,NEURO,169,267,Torrent,30mg,capsule,false
duadilor 40mg tablet sr,duadilor,Treatment of Premature Labor,GYNAECOLOGICAL,78,279,Mankind,40mg,capsule,true
dorkast-l tablet,dorkast-l,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,144,291,Sun Pharma,500mg,capsule,false
davaindia amlodipine+metoprolol succinate 5mg/50mg tablet pr,davaindia,Treatment of Hypertension (high blood pressure),CARDIAC,117,299,Sun Pharma,5mg,injection,true
dermi-zio 6 cream,dermi-zio,Treatment of Skin infections,DERMA,194,78,Abbott,250mg,injection,true
dorific 500mg injection,dorific,Severe bacterial infections,ANTI,152,340,Lupin,500mg,tablet,true
divisol eye drop,divisol,Treatment of Dry eyes,OPHTHAL,56,428,Zydus,500mg,tablet,false
dicka relax 100 mg/2 mg tablet,dicka,Treatment of Pain due to muscle spasm,PAIN,141,430,Alkem,100 mg,injection,true
doly 200mg tablet,doly,Pain relief,PAIN,191,157,Alkem,200mg,tablet,true
dope 5mg tablet,dope,Alzheimer's disease,NEURO,63,362,Cipla,5mg,tablet,true
demolox 50mg tablet,demolox,Depression,NEURO,32,277,Dr Reddy,50mg,syrup,true
dazy syrup,dazy,Treatment of Bacterial infections,ANTI,48,177,Mankind,250mg,capsule,false
difra gel,difra,Acne,DERMA,31,257,Cipla,500mg,capsule,false
dezac 6mg tablet,dezac,Treatment of Inflammatory conditions,HORMONES,94,421,Mankind,6mg,syrup,true
dericort 6mg tablet,dericort,Treatment of Inflammatory conditions,HORMONES,60,444,Alkem,6mg,injection,false
defcad 6 tablet,defcad,Treatment of Inflammatory conditions,HORMONES,169,61,Torrent,100mg,syrup,true
dalviz-er 500 tablet,dalviz-er,Treatment of Epilepsy/Seizures,NEURO,139,336,Mankind,100mg,capsule,false
dobicos 500mg capsule,dobicos,Treatment of Piles,CARDIAC,199,206,Dr Reddy,500mg,syrup,true
dp dase tablet,dp,Pain relief,PAIN,164,479,Sun Pharma,100mg,capsule,true
dine 2.5mg tablet,dine,Parkinson's disease,NEURO,58,112,Dr Reddy,5mg,injection,true
defter 6mg tablet,defter,Treatment of Inflammatory conditions,HORMONES,84,369,Zydus,6mg,tablet,false
dezole 100mg capsule,dezole,Treatment of Fungal infections,OPHTHAL,100,159,Alkem,100mg,tablet,false
d-ford soft gelatin capsule,d-ford,Treatment of Vitamin D deficiency,VITAMINS,81,431,Dr Reddy,100mg,tablet,true
danavish fenofibrate+rosuvastatin 160mg/10mg tablet,danavish,Treatment of High cholesterol,CARDIAC,106,134,Alkem,160mg,tablet,true
dotcoff m syrup,dotcoff,Cough,RESPIRATORY,69,479,Abbott,100mg,injection,true
delfenac 100mg/325mg tablet,delfenac,Pain relief,PAIN,76,201,Sun Pharma,100mg,injection,false
diavol 1000mg tablet er,diavol,Treatment of Epilepsy/Seizures,NEURO,192,162,Sun Pharma,1000mg,capsule,false
despata 10mg tablet,despata,Muscle relaxation,PAIN,74,126,Dr Reddy,10mg,syrup,true
drotaz m tablet,drotaz,Treatment of Abdominal pain,GASTRO,188,411,Cipla,200mg,capsule,true
dothin 75mg tablet,dothin,Treatment of Anxiety disorder,NEURO,95,361,Cipla,75mg,capsule,false
dermowen cream,dermowen,Skin infections,DERMA,180,125,Sun Pharma,200mg,tablet,true
depnoc 25mg tablet,depnoc,Treatment of Anxiety disorder,NEURO,61,357,Sun Pharma,25mg,syrup,false
dicnac gel,dicnac,Pain relief,PAIN,132,183,Lupin,200mg,syrup,true
duracid o syrup,duracid,Acidity,GASTRO,25,419,Zydus,650mg,tablet,false
dulane 40mg capsule,dulane,Treatment of Depression,NEURO,52,106,Torrent,40mg,capsule,true
doxal plus 10mg/10mg/2.5mg tablet,doxal,Treatment of Nausea and vomiting in pregnancy,GASTRO,150,401,Dr Reddy,10mg,capsule,true
decadec 50 injection,decadec,Treatment of Post menopausal osteoporosis,HORMONES,78,73,Torrent,200mg,injection,true
davatel h 40mg/12.5mg tablet,davatel,Treatment of Hypertension (high blood pressure),CARDIAC,115,260,Alkem,40mg,syrup,true
davaindia nimesulide+paracetamol 100mg/325mg tablet,davaindia,Pain relief,PAIN,126,496,Cipla,100mg,capsule,true
d cuff syrup,d,Treatment of Dry cough,RESPIRATORY,79,74,Abbott,100mg,injection,true
dopah 500 tablet,dopah,Hypertension (high blood pressure),CARDIAC,29,139,Torrent,500mg,capsule,true
deftab 6 tablet,deftab,Treatment of Inflammatory conditions,HORMONES,91,358,Zydus,200mg,syrup,false
dextopen syrup,dextopen,Dry cough,RESPIRATORY,29,262,Dr Reddy,250mg,injection,false
dyloop 20mg tablet,dyloop,Treatment of Hypertension (high blood pressure),CARDIAC,133,299,Lupin,20mg,syrup,false
dilora 5mg tablet,dilora,Treatment of Allergic conditions,RESPIRATORY,177,84,Torrent,5mg,injection,false
doxypro 100mg tablet,doxypro,Treatment of Bacterial infections,ANTI,118,493,Zydus,100mg,capsule,true
defortin-dz tablet,defortin-dz,Treatment of Inflammatory conditions,HORMONES,125,364,Torrent,650mg,syrup,true
