name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
melexin kt 125mg tablet,melexin,Treatment of Bacterial infections,ANTI,136,289,Sun Pharma,125mg,injection,false
medicillin 500mg injection,medicillin,Bacterial infections,ANTI,142,477,Abbott,500mg,injection,true
maaflox suspension,maaflox,Treatment of Bacterial infections,ANTI,40,398,Mankind,100mg,tablet,false
mobic br 250mg/8mg capsule,mobic,Respiratory tract infection,ANTI,98,202,Sun Pharma,250mg,tablet,false
maxorest 0.5mg tablet,maxorest,Treatment of Anxiety,NEURO,120,467,Cipla,5mg,capsule,true
mifi 100mg tablet dt,mifi,Treatment of Bacterial infections,ANTI,93,341,Dr Reddy,100mg,injection,false
mycoram 150mg tablet,mycoram,Treatment of Fungal infections,ANTI,164,185,Torrent,150mg,injection,false
mikmor 100mg injection,mikmor,Bacterial infections,OPHTHAL,70,251,Mankind,100mg,syrup,true
mg diab 1mg/500mg tablet,mg,Treatment of Type 2 diabetes mellitus,ANTI,197,111,Zydus,1mg,capsule,true
mikazen 500mg injection,mikazen,Bacterial infections,OPHTHAL,102,219,Torrent,500mg,capsule,false
malgo 250mg tablet,malgo,Treatment of Malaria,OPHTHAL,114,244,Lupin,250mg,injection,false
moxired 500mg capsule,moxired,Treatment of Bacterial infections,ANTI,135,160,Lupin,500mg,capsule,false
mepnem 1000mg injection,mepnem,Severe bacterial infections,ANTI,165,139,Abbott,1000mg,syrup,false
malcon 60mg injection,malcon,Malaria,ANTI,56,89,Cipla,60mg,tablet,false
mefhill spas 10mg/250mg tablet,mefhill,Treatment of Menstrual pain,PAIN,194,222,Abbott,10mg,capsule,true
miker 500mg injection,miker,Bacterial infections,OPHTHAL,123,438,Cipla,500mg,tablet,true
mocast forte 10mg/5mg/200mg tablet,mocast,Asthma,RESPIRATORY,75,265,Abbott,10mg,injection,true
mitycef 200mg tablet dt,mitycef,Treatment of Bacterial infections,ANTI,190,254,Sun Pharma,200mg,tablet,true
moxec 0.5% eye drop,moxec,Treatment of Bacterial eye infections,OPHTHAL,63,313,Sun Pharma,200mg,capsule,true
mefeon p syrup,mefeon,Pain relief,PAIN,192,66,Zydus,100mg,syrup,false
mecovibe injection,mecovibe,Vitamin B12 deficiency,VITAMINS,167,275,Abbott,100mg,injection,true
metolav 25mg tablet,metolav,Treatment of Hypertension (high blood pressure),CARDIAC,189,480,Cipla,25mg,injection,false
mefwell forte 500mg/325mg tablet,mefwell,Pain relief,PAIN,98,264,Abbott,500mg,tablet,false
movogesic aqua 75mg injection,movogesic,Pain relief,PAIN,47,63,Lupin,75mg,capsule,true
myzolix az 200mg/250mg tablet,myzolix,Bacterial infections,ANTI,178,260,Cipla,200mg,injection,false
