name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
mgnac-p tablet,mgnac-p,Pain relief,PAIN,41,100,Sun Pharma,100mg,syrup,false
mosonity 0.1% cream,mosonity,Treatment of Skin conditions with inflammation & itching,DERMA,144,265,Lupin,250mg,injection,false
mormect-cl tablet,mormect-cl,Treatment of Bacterial infections,ANTI,31,462,Zydus,200mg,injection,false
moxicon  eye ointment,moxicon,Treatment of Bacterial eye infections,OPHTHAL,168,274,Cipla,200mg,syrup,true
myoflex 8mg tablet sr,myoflex,Muscle relaxation,PAIN,76,495,Alkem,8mg,injection,true
metofid tm 40mg/50mg tablet,metofid,Treatment of Hypertension (high blood pressure),CARDIAC,135,378,Alkem,40mg,syrup,false
mevotrex 15 tablet,mevotrex,Treatment of Rheumatoid arthritis,ANTI,198,304,Cipla,100mg,tablet,true
mecostay-g tablet,mecostay-g,Treatment of Neuropathic pain,NEURO,178,389,Lupin,500mg,tablet,false
multirab dsr capsule,multirab,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,145,167,Mankind,250mg,injection,false
mont loreva 5mg/10mg tablet,mont,Sneezing and runny nose due to allergies,RESPIRATORY,119,336,Cipla,5mg,tablet,true
mediflam s 50mg/10mg tablet,mediflam,Pain relief,PAIN,150,129,Abbott,50mg,tablet,true
maxx rantac 150mg tablet,maxx,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,147,104,Alkem,150mg,syrup,false
mctiz mt 5mg/10mg tablet,mctiz,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,182,432,Dr Reddy,5mg,injection,true
maxglip m 500mg/50mg tablet,maxglip,Treatment of Type 2 diabetes mellitus,ANTI,169,206,Cipla,500mg,capsule,true
maczone plus 250 mg/125 mg injection,maczone,Bacterial infections,ANTI,184,354,Torrent,250 mg,syrup,true
moxmentin 500mg/125mg tablet,moxmentin,Treatment of Bacterial infections,ANTI,117,425,Mankind,500mg,syrup,false
meco spas 80mg/250mg tablet,meco,Treatment of Menstrual pain,PAIN,55,286,Zydus,80mg,syrup,false
marktel 40mg tablet,marktel,Treatment of Hypertension (high blood pressure),CARDIAC,176,80,Sun Pharma,40mg,injection,true
melanco 50mg tablet,melanco,Treatment of Anxiety disorder,NEURO,49,246,Torrent,50mg,capsule,true
mofilet s 180 tablet,mofilet,Prevention of organ rejection in transplant patients,ANTI,36,410,Abbott,100mg,capsule,false
mucet tablet,mucet,Treatment of Allergic conditions,RESPIRATORY,37,337,Cipla,250mg,capsule,true
micobin p 750mg/75mg tablet,micobin,Treatment of Neuropathic pain,NEURO,101,281,Mankind,750mg,injection,false
mefcure suspension,mefcure,Pain relief,PAIN,172,311,Alkem,250mg,capsule,true
miranix tablet er,miranix,Treatment of Overactive bladder (OAB) symptoms,UROLOGY,155,385,Abbott,500mg,injection,false
moxicon eye ointment,moxicon,Treatment of Bacterial eye infections,OPHTHAL,132,274,Abbott,500mg,capsule,false
mahaflox infusion,mahaflox,Treatment of Bacterial eye infections,ANTI,36,324,Cipla,200mg,injection,false
mucyst 1000mg injection,mucyst,Treatment of Respiratory disease with excessive mucus,PAIN,133,83,Lupin,1000mg,injection,true
maclar suspension,maclar,Treatment of Bacterial infections,ANTI,78,282,Alkem,650mg,capsule,true
mettop 25mg tablet xl,mettop,Treatment of Hypertension (high blood pressure),CARDIAC,116,306,Alkem,25mg,tablet,true
monolac 150mg capsule,monolac,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,48,385,Mankind,150mg,syrup,true
moxirion-cv 625 tablet,moxirion-cv,Treatment of Bacterial infections,ANTI,159,166,Mankind,200mg,syrup,true
mydox s tablet,mydox,Treatment of Bacterial infections,ANTI,154,473,Mankind,200mg,syrup,true
montilife oral liquid,montilife,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,33,477,Dr Reddy,100mg,tablet,false
macdaxa 150mg capsule,macdaxa,Treatment and prevention of Blood clots,CARDIAC,176,173,Sun Pharma,150mg,syrup,true
maxpant 40mg tablet,maxpant,Treatment of Heartburn,GASTRO,169,75,Torrent,40mg,tablet,false
mi 50mg tablet,mi,Treatment of Bacterial infections,ANTI,39,270,Dr Reddy,50mg,tablet,true
mefna p forte syrup,mefna,Pain relief,PAIN,116,363,Torrent,500mg,syrup,false
mecosure-p capsule,mecosure-p,Treatment of Neuropathic pain,NEURO,53,54,Abbott,650mg,injection,true
mecovin plus injection,mecovin,Nutritional deficiencies,VITAMINS,32,163,Cipla,100mg,injection,false
monteceum lc 5mg/10mg tablet,monteceum,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,171,450,Torrent,5mg,tablet,false
meriflam tablet,meriflam,Pain relief,PAIN,153,418,Zydus,200mg,injection,true
monrab d 30mg/20mg capsule sr,monrab,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,176,480,Mankind,30mg,injection,true
mext 2.5mg tablet,mext,Treatment of Rheumatoid arthritis,ANTI,112,273,Abbott,5mg,capsule,true
mabthera 500 mg infusion,mabthera,Non-Hodgkin lymphoma (NHL),ANTI,83,146,Zydus,500 mg,capsule,true
mhstelmis 40mg tablet,mhstelmis,Treatment of Hypertension (high blood pressure),CARDIAC,24,268,Sun Pharma,40mg,injection,true
mefrin 500mg tablet,mefrin,Pain relief,PAIN,180,99,Cipla,500mg,capsule,false
metaz 0.1% lotion,metaz,Treatment of Skin conditions with inflammation & itching,DERMA,137,376,Zydus,200mg,injection,false
mycoclin b gel,mycoclin,Skin infections,DERMA,116,318,Dr Reddy,200mg,tablet,false
monocortil m 4mg tablet,monocortil,Treatment of Rheumatic disorder,HORMONES,31,455,Torrent,4mg,tablet,false
mixie tablet,mixie,Bacterial infections,ANTI,34,292,Cipla,500mg,syrup,true
medimol kid 250mg tablet,medimol,Pain relief,PAIN,123,97,Sun Pharma,250mg,syrup,true
metstol 100mg tablet,metstol,Bacterial infections,ANTI,40,319,Alkem,100mg,capsule,false
moxyrex cv 500mg/125mg tablet,moxyrex,Treatment of Bacterial infections,ANTI,82,496,Abbott,500mg,injection,true
mefrest-spas tablet,mefrest-spas,Treatment of Menstrual pain,PAIN,39,490,Mankind,650mg,syrup,true
momocort cream,momocort,Treatment of Melasma,DERMA,52,315,Dr Reddy,100mg,injection,false
moxilet 400mg tablet,moxilet,Treatment of Bacterial eye infections,OPHTHAL,63,240,Abbott,400mg,syrup,false
mizoprist kit,mizoprist,Medical abortion,GYNAECOLOGICAL,145,274,Lupin,200mg,tablet,true
migranext-pr tablet tr,migranext-pr,Prevention of Migraine,CARDIAC,114,451,Alkem,500mg,tablet,true
mino-buz injection,mino-buz,Bacterial infections,ANTI,200,428,Mankind,200mg,injection,true
mucojan 600mg tablet,mucojan,Treatment of Respiratory disease with excessive mucus,PAIN,43,381,Torrent,600mg,capsule,true
magadol ac tablet,magadol,Pain relief,PAIN,144,103,Abbott,500mg,injection,true
monticet kid 2.5mg/4mg tablet,monticet,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,62,339,Alkem,5mg,tablet,true
meromax 1000mg injection,meromax,Severe bacterial infections,ANTI,98,212,Mankind,1000mg,capsule,false
megazid xp 500 mg/62.5 mg injection,megazid,Bacterial infections,ANTI,142,291,Mankind,500 mg,tablet,true
medimol syrup,medimol,Pain relief,PAIN,49,344,Alkem,250mg,capsule,true
meropen 1000mg injection,meropen,Severe bacterial infections,ANTI,158,319,Dr Reddy,1000mg,capsule,false
migpan d 30mg/40mg capsule sr,migpan,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,155,468,Alkem,30mg,syrup,true
motzu m 5mg/10mg tablet,motzu,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,120,478,Lupin,5mg,capsule,true
