name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
peconac 100mg tablet,peconac,Pain relief,PAIN,122,389,Torrent,100mg,tablet,false
pioglucored forte tablet,pioglucored,Treatment of Type 2 diabetes mellitus,ANTI,121,392,Zydus,500mg,capsule,false
panet 40mg tablet,panet,Treatment of Heartburn,GASTRO,133,454,Dr Reddy,40mg,tablet,false
pantech d 10mg/40mg tablet,pantech,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,141,187,Torrent,10mg,syrup,false
piraciti 500mg tablet,piraciti,Treatment of Stroke,NEURO,103,463,Torrent,500mg,tablet,true
panfirst 40 tablet,panfirst,Treatment of Heartburn,GASTRO,124,178,Cipla,200mg,capsule,true
panrun 40mg tablet,panrun,Treatment of Heartburn,GASTRO,66,419,Mankind,40mg,capsule,true
pregalight forte capsule,pregalight,Treatment of Neuropathic pain,VITAMINS,90,242,Torrent,500mg,tablet,true
procyline 5 tablet,procyline,Parkinson's disease,NEURO,189,467,Torrent,650mg,injection,false
panklok 40mg tablet,panklok,Treatment of Heartburn,GASTRO,199,171,Alkem,40mg,capsule,true
perimol 650mg tablet,perimol,Pain relief,PAIN,98,65,Dr Reddy,650mg,tablet,false
pytrip tablet,pytrip,Pain relief,PAIN,160,345,Lupin,200mg,syrup,true
pirfenair tablet,pirfenair,Treatment of Idiopathic pulmonary fibrosis,RESPIRATORY,163,357,Abbott,650mg,capsule,true
primacip 7.5mg tablet,primacip,Malaria,ANTI,104,427,Lupin,5mg,syrup,true
painadol 100mg tablet sr,painadol,Moderate to severe pain,PAIN,163,246,Sun Pharma,100mg,injection,true
pancef 500mg injection,pancef,Treatment of Bacterial infections,ANTI,57,462,Lupin,500mg,syrup,true
pantix 40mg tablet,pantix,Treatment of Heartburn,GASTRO,161,353,Alkem,40mg,syrup,true
pep t 4000 mg/500 mg injection,pep,Bacterial infections,ANTI,149,489,Zydus,4000 mg,tablet,false
pantozer-dsr capsule,pantozer-dsr,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,51,99,Torrent,650mg,capsule,true
petron 4mg tablet md,petron,Treatment of Nausea,GASTRO,84,190,Alkem,4mg,tablet,true
pbmont-lc 5mg/10mg tablet,pbmont-lc,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,200,238,Abbott,5mg,capsule,true
painout p 100mg/500mg tablet,painout,Pain relief,PAIN,199,407,Dr Reddy,100mg,syrup,true
parytine-cr 25 tablet,parytine-cr,Treatment of Depression,NEURO,80,451,Torrent,650mg,capsule,true
psyvox-er 500 tablet,psyvox-er,Treatment of Epilepsy/Seizures,NEURO,100,305,Torrent,650mg,tablet,false
pnext 40mg tablet,pnext,Treatment of Heartburn,GASTRO,27,78,Alkem,40mg,tablet,false
