name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
brodtek 250mg tablet,brodtek,Treatment of Bacterial infections,ANTI,70,459,Mankind,250mg,injection,false
bioxon 250mg injection,bioxon,Treatment of Bacterial infections,ANTI,160,450,Mankind,250mg,injection,false
biaxe 500mg tablet,biaxe,Treatment of Bacterial infections,ANTI,99,341,Alkem,500mg,syrup,true
bislod-am 5mg/2.5mg tablet,bislod-am,Hypertension (high blood pressure),CARDIAC,125,388,Dr Reddy,5mg,injection,true
beta good 8mg tablet,beta,Treatment of Meniere's disease,NEURO,198,483,Dr Reddy,8mg,tablet,false
bpther 50mg tablet,bpther,Malaria,ANTI,96,127,Mankind,50mg,capsule,true
b zed plus 6mg/400mg tablet,b,Treatment of Worm infections,ANTI,139,176,Lupin,6mg,syrup,true
bandej oz ointment,bandej,Wound infection,DERMA,91,421,Abbott,200mg,injection,true
brachy expectorant,brachy,Treatment of Cough,RESPIRATORY,200,491,Torrent,250mg,capsule,false
benimol mf oral suspension,benimol,Pain relief,PAIN,149,467,Torrent,650mg,tablet,false
boncillin-cv dry syrup,boncillin-cv,Treatment of Resistant Tuberculosis (TB),ANTI,191,409,Abbott,500mg,injection,true
betar 24 tablet,betar,Treatment of Meniere's disease,NEURO,90,471,Dr Reddy,500mg,capsule,false
bendiff 400mg tablet,bendiff,Treatment of Parasitic infections,ANTI,66,407,Mankind,400mg,injection,true
betran 8mg tablet,betran,Treatment of Meniere's disease,NEURO,105,390,Lupin,8mg,injection,false
blezin 5 tablet,blezin,Treatment of Allergic conditions,RESPIRATORY,61,159,Mankind,500mg,tablet,false
bplus mont 5mg/10mg tablet,bplus,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,46,325,Zydus,5mg,tablet,true
betanof injection,betanof,Treatment of Allergic conditions,RESPIRATORY,40,494,Dr Reddy,650mg,syrup,true
bipnolol 40 sr tablet,bipnolol,Treatment of Pheochromocytoma,CARDIAC,96,73,Mankind,500mg,injection,true
biconate cn cream,biconate,Treatment of Skin infections,DERMA,113,137,Dr Reddy,250mg,tablet,false
biomed ls syrup,biomed,Chronic obstructive pulmonary disease (COPD),RESPIRATORY,115,462,Alkem,500mg,tablet,false
burcef o 200mg/200mg tablet,burcef,Treatment of Bacterial infections,ANTI,188,463,Abbott,200mg,syrup,true
bristerone 250mg injection,bristerone,Prevention of Premature Labor,GYNAECOLOGICAL,120,269,Abbott,250mg,syrup,true
balben plus 6mg/400mg tablet,balben,Treatment of Worm infections,ANTI,144,73,Lupin,6mg,tablet,false
bacend 500 tablet,bacend,Treatment of Bacterial infections,ANTI,165,385,Cipla,650mg,tablet,true
benser tablet,benser,Pain relief,PAIN,192,341,Abbott,650mg,tablet,true
bynuro plus injection,bynuro,Treatment of Nutritional deficiencies,VITAMINS,192,220,Sun Pharma,250mg,capsule,false
blentop d 30mg/40mg capsule sr,blentop,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,170,221,Cipla,30mg,tablet,false
brexclob-gm cream,brexclob-gm,Treatment of Skin infections,DERMA,35,264,Torrent,500mg,tablet,true
blainetuss syrup,blainetuss,Chronic obstructive pulmonary disease (COPD),RESPIRATORY,197,441,Torrent,500mg,syrup,true
br-cold oral suspension,br-cold,Common cold,RESPIRATORY,178,236,Abbott,650mg,injection,false
betazole pd 10mg/20mg tablet,betazole,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,25,85,Sun Pharma,10mg,capsule,true
betamig plus 40mg/10mg tablet,betamig,Prevention of Migraine,CARDIAC,90,74,Zydus,40mg,injection,true
