name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
supadrol 40mg injection,supadrol,Treatment of Rheumatic disorder,HORMONES,80,345,Torrent,40mg,tablet,false
shivaz 250 tablet,shivaz,Treatment of Bacterial infections,ANTI,37,113,Dr Reddy,650mg,injection,true
stayhappi nimesulide+paracetamol 100mg/325mg tablet,stayhappi,Pain relief,PAIN,156,467,Mankind,100mg,tablet,false
stayhappi desvenlafaxine 100mg tablet,stayhappi,Depression,NEURO,68,329,Abbott,100mg,tablet,true
stayhappi telmisartan+cilnidipine+chlorthalidone 40mg/10mg/12.5mg tablet,stayhappi,Hypertension (high blood pressure),CARDIAC,42,194,Cipla,40mg,tablet,true
samlo a 5mg/50mg tablet,samlo,Treatment of Hypertension (high blood pressure),CARDIAC,192,385,Zydus,5mg,syrup,false
spancort 6mg tablet,spancort,Treatment of Inflammatory conditions,HORMONES,181,469,Mankind,6mg,capsule,true
sucet a 5mg/60mg tablet,sucet,Cough,RESPIRATORY,121,99,Abbott,5mg,capsule,false
sucra relcer 1000mg oral suspension,sucra,Treatment of Intestinal ulcers,GASTRO,181,389,Sun Pharma,1000mg,syrup,false
susmet 1000mg tablet sr,susmet,Treatment of Type 2 diabetes mellitus,ANTI,33,69,Dr Reddy,1000mg,capsule,false
spnfast sp 50mg/325mg/10mg tablet,spnfast,Pain relief,PAIN,123,228,Torrent,50mg,syrup,true
succisone injection,succisone,Severe allergic reactions,RESPIRATORY,79,433,Dr Reddy,500mg,injection,true
sazomer 400mg tablet,sazomer,High phosphate levels in blood,OTHERS,41,171,Alkem,400mg,syrup,false
sifan 200mg tablet,sifan,Treatment of Bacterial infections,ANTI,76,191,Cipla,200mg,syrup,false
simvasyn ez 10mg/10mg tablet,simvasyn,High cholesterol,CARDIAC,92,117,Zydus,10mg,capsule,true
safeline 80mg tablet,safeline,Treatment of Type 2 diabetes mellitus,ANTI,47,63,Cipla,80mg,syrup,false
sucrapil o suspension,sucrapil,Treatment of Acidity,GASTRO,122,226,Alkem,100mg,injection,false
scoff 200mg tablet,scoff,Treatment of Bacterial infections,ANTI,116,179,Cipla,200mg,syrup,true
spandox sp 100mg/15mg tablet,spandox,Treatment of Bacterial infections,ANTI,45,145,Abbott,100mg,tablet,false
schizopin 100mg tablet sr,schizopin,Treatment of Schizophrenia,NEURO,130,333,Torrent,100mg,capsule,true
solzar 5mg tablet,solzar,Treatment of Premature Labor,GYNAECOLOGICAL,141,93,Dr Reddy,5mg,tablet,false
supraxone s 500mg/250mg injection,supraxone,Bacterial infections,ANTI,159,111,Abbott,500mg,injection,false
sft 1000mg oral gel,sft,Treatment of Intestinal ulcers,GASTRO,162,387,Mankind,1000mg,syrup,false
set nv 2mg injection,set,Treatment of Nausea,GASTRO,49,72,Zydus,2mg,tablet,false
sp clav 200 mg/28.5 mg dry syrup,sp,Treatment of Resistance Tuberculosis (TB),ANTI,169,293,Mankind,200 mg,syrup,false
solvin lozenges,solvin,Dry cough,RESPIRATORY,177,127,Sun Pharma,250mg,syrup,false
septicin 500mg tablet,septicin,Treatment of Bacterial infections,ANTI,115,174,Alkem,500mg,injection,true
serralone ap 100 mg/325 mg/15 mg tablet,serralone,Pain relief,PAIN,177,460,Mankind,100 mg,syrup,true
sudarest tablet,sudarest,Treatment of Common cold,RESPIRATORY,178,374,Dr Reddy,250mg,syrup,true
sulpidon od 200mg tablet,sulpidon,Schizophrenia,NEURO,111,480,Mankind,200mg,tablet,true
sycodone 1mg tablet,sycodone,Treatment of Schizophrenia,NEURO,145,271,Alkem,1mg,capsule,false
sinorest k suspension,sinorest,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,168,390,Alkem,500mg,capsule,true
scabir soap,scabir,Scabies,DERMA,162,120,Zydus,250mg,tablet,false
safydox 200mg tablet,safydox,Treatment of Bacterial infections,ANTI,76,93,Sun Pharma,200mg,syrup,true
sugesic 100mg tablet,sugesic,Pain relief,PAIN,175,222,Cipla,100mg,syrup,true
solbe tablet,solbe,Chronic obstructive pulmonary disease (COPD),RESPIRATORY,43,484,Alkem,200mg,syrup,false
sereval 25mg tablet,sereval,Treatment of Depression,NEURO,169,352,Abbott,25mg,injection,false
simvin 10mg tablet,simvin,High cholesterol,CARDIAC,97,379,Alkem,10mg,injection,false
serrag d 50mg/10mg tablet,serrag,Pain relief,PAIN,196,315,Dr Reddy,50mg,injection,true
spzole 20mg capsule,spzole,Gastroesophageal reflux disease (Acid reflux),GASTRO,74,98,Cipla,20mg,injection,false
silospurt 8mg capsule,silospurt,Treatment of Benign prostatic hyperplasia,UROLOGY,42,136,Torrent,8mg,capsule,true
sareen 200mg tablet,sareen,Epilepsy/Seizures,NEURO,193,323,Abbott,200mg,injection,false
seropax 200 tablet pr,seropax,Treatment of Schizophrenia,NEURO,81,103,Torrent,200mg,syrup,true
sibazol 4mg injection,sibazol,Osteoporosis,PAIN,53,404,Cipla,4mg,tablet,true
stayhappi piroxicam 20mg tablet,stayhappi,Pain relief,PAIN,52,234,Alkem,20mg,injection,false
sanflox-ms oral suspension,sanflox-ms,Treatment of Bacterial infections,GASTRO,78,163,Cipla,650mg,tablet,false
snotril 0.5mg tablet,snotril,Treatment of Anxiety disorder,NEURO,118,149,Sun Pharma,5mg,capsule,false
siclofill sp 100mg/325mg/15mg tablet,siclofill,Pain relief,PAIN,190,286,Torrent,100mg,syrup,true
soincef-lb 200 tablet dt,soincef-lb,Bacterial infections,ANTI,73,116,Lupin,650mg,injection,true
spnpod cv 200mg/125mg tablet,spnpod,Treatment of Respiratory tract infection,ANTI,65,175,Dr Reddy,200mg,syrup,false
scucef 200mg tablet,scucef,Treatment of Bacterial infections,ANTI,85,350,Abbott,200mg,injection,true
solpriwel 100mg tablet,solpriwel,Schizophrenia,NEURO,199,428,Zydus,100mg,injection,true
