name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
azon 6mg drop,azon,Treatment of Anxiety,RESPIRATORY,145,176,Abbott,6mg,capsule,false
azikem 100mg tablet dt,azikem,Treatment of Bacterial infections,ANTI,106,86,Abbott,100mg,capsule,true
azikam 250mg tablet,azikam,Treatment of Bacterial infections,ANTI,42,86,Lupin,250mg,syrup,false
alenost 10mg tablet,alenost,Osteoporosis,PAIN,189,75,Torrent,10mg,tablet,true
argesic plus 50 mg/500 mg tablet,argesic,Pain relief,PAIN,185,312,Dr Reddy,50 mg,tablet,true
arz 20mg tablet,arz,Gastroesophageal reflux disease (Acid reflux),GASTRO,70,478,Dr Reddy,20mg,syrup,false
amofix 500mg/125mg tablet,amofix,Treatment of Bacterial infections,ANTI,177,344,Abbott,500mg,tablet,true
amlo-dalcare t 80 tablet,amlo-dalcare,Treatment of Hypertension (high blood pressure),CARDIAC,194,216,Zydus,100mg,syrup,false
albendex 150mg tablet,albendex,Treatment of Parasitic infections,ANTI,180,315,Cipla,150mg,injection,false
azital 250mg tablet,azital,Treatment of Bacterial infections,ANTI,68,290,Alkem,250mg,injection,false
amlan s 2.5mg  tablet,amlan,Treatment of Hypertension (high blood pressure),CARDIAC,183,254,Zydus,5mg,capsule,false
auract 1gm injection,auract,Treatment of Bacterial infections,ANTI,136,316,Zydus,500mg,tablet,true
atcid 40mg tablet,atcid,Treatment of Heartburn,GASTRO,44,364,Lupin,40mg,capsule,false
alprocontin 1mg tablet,alprocontin,Treatment of Anxiety,NEURO,187,285,Sun Pharma,1mg,injection,true
axocare plus capsule,axocare,Neuropathic pain,NEURO,96,357,Zydus,100mg,syrup,true
aeknil 650mg tablet,aeknil,Pain relief,PAIN,94,101,Zydus,650mg,syrup,false
acedo mr 100mg/500mg/2mg tablet,acedo,Treatment of Muscular pain,PAIN,131,257,Dr Reddy,100mg,capsule,false
a pin 50mg tablet,a,Prevention of organ rejection in transplant patients,ANTI,73,439,Zydus,50mg,syrup,true
atomoxet 10mg tablet,atomoxet,Attention deficit hyperactivity disorder (ADHD),NEURO,158,412,Zydus,10mg,syrup,false
azzure 100mg injection,azzure,Blood cancer,ANTI,171,441,Torrent,100mg,capsule,true
anastar 1mg tablet,anastar,Breast cancer,ANTI,31,407,Abbott,1mg,tablet,true
azitrop oral drops,azitrop,Treatment of Bacterial infections,ANTI,149,498,Abbott,250mg,capsule,true
ak-60 capsule,ak-60,Bacterial infections,ANTI,83,66,Mankind,250mg,injection,false
alodox 500mg tablet,alodox,Treatment of Bacterial infections,GASTRO,179,393,Alkem,500mg,capsule,true
ambiocin 500mg injection,ambiocin,Bacterial infections,OPHTHAL,42,63,Sun Pharma,500mg,capsule,true
axifert 50mg tablet,axifert,Female infertility,GYNAECOLOGICAL,38,491,Alkem,50mg,capsule,false
admoxy cv 375 tablet,admoxy,Treatment of Bacterial infections,ANTI,183,162,Lupin,500mg,syrup,false
azisun 500 tablet,azisun,Treatment of Bacterial infections,ANTI,194,107,Dr Reddy,650mg,tablet,false
aceclonac p 100mg/325mg tablet,aceclonac,Pain relief,PAIN,25,432,Abbott,100mg,capsule,true
asvik-cv 457 dry syrup,asvik-cv,Treatment of Resistant Tuberculosis (TB),ANTI,75,428,Abbott,100mg,injection,true
alersafe m 2.5mg/4mg tablet,alersafe,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,69,480,Alkem,5mg,capsule,true
art 80mg injection,art,Malaria,ANTI,131,121,Torrent,80mg,injection,true
amlok at 5mg/50mg tablet,amlok,Treatment of Hypertension (high blood pressure),CARDIAC,31,465,Mankind,5mg,capsule,true
adinerv 1500mcg injection,adinerv,Vitamin B12 deficiency,VITAMINS,44,290,Torrent,650mg,capsule,true
azithar 500mg tablet,azithar,Treatment of Bacterial infections,ANTI,68,484,Torrent,500mg,syrup,false
alkagel oral gel mint sugar free,alkagel,Local anesthesia (Numb tissues in a specific area),GASTRO,152,414,Abbott,200mg,capsule,false
allariz 180mg tablet,allariz,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,172,490,Mankind,180mg,tablet,false
aniclav syrup,aniclav,Treatment of Resistant Tuberculosis (TB),ANTI,58,463,Cipla,500mg,syrup,true
amlic 500 injection,amlic,Bacterial infections,OPHTHAL,74,112,Mankind,250mg,syrup,true
alsatinib 50mg tablet,alsatinib,Blood cancer (Chronic myeloid leukaemia),ANTI,177,135,Cipla,50mg,syrup,true
amp 50mg tablet,amp,Schizophrenia,NEURO,98,414,Mankind,50mg,syrup,true
at-click 10 tablet,at-click,High cholesterol,CARDIAC,26,354,Lupin,200mg,injection,true
arowin cv lb 500mg/125mg tablet,arowin,Bacterial infections,ANTI,140,299,Dr Reddy,500mg,syrup,true
astin sp 100mg/325mg/15mg tablet,astin,Pain relief,PAIN,100,496,Abbott,100mg,capsule,true
