name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
hansimol m oral suspension,hansimol,Pain relief,PAIN,139,301,Dr Reddy,100mg,capsule,true
hitcef 1gm injection,hitcef,Treatment of Bacterial infections,ANTI,123,184,Torrent,500mg,injection,true
hapytel 20mg tablet,hapytel,Treatment of Hypertension (high blood pressure),CARDIAC,114,93,Alkem,20mg,capsule,true
hyfipime 250mg injection,hyfipime,Treatment of Severe bacterial infections,ANTI,58,73,Dr Reddy,250mg,injection,false
hazitra 100mg capsule,hazitra,Treatment of Fungal infections,OPHTHAL,82,239,Alkem,100mg,tablet,true
hibrid dry syrup,hibrid,Treatment of Resistant Tuberculosis (TB),ANTI,63,278,Mankind,500mg,syrup,false
hidilan 40mg tablet sr,hidilan,Treatment of Premature Labor,GYNAECOLOGICAL,95,282,Cipla,40mg,injection,false
hanucef 1gm injection,hanucef,Treatment of Bacterial infections,ANTI,115,416,Torrent,650mg,syrup,true
hqra 400mg tablet,hqra,Treatment of Rheumatoid arthritis,PAIN,160,83,Sun Pharma,400mg,tablet,false
hytan 50mg/12.5mg tablet,hytan,Treatment of Hypertension (high blood pressure),CARDIAC,144,376,Mankind,50mg,tablet,false
hydrocet m kid 2.5mg/4mg tablet,hydrocet,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,119,67,Zydus,5mg,injection,true
haloday 10mg tablet,haloday,Schizophrenia,NEURO,193,415,Alkem,10mg,injection,true
heal dx 250mg/250mg capsule,heal,Treatment of Bacterial infections,ANTI,152,88,Sun Pharma,250mg,capsule,false
hezot 200mg tablet,hezot,Treatment of Bacterial infections,ANTI,101,71,Cipla,200mg,syrup,false
heof 100mg injection,heof,Treatment of Bacterial infections,ANTI,184,276,Cipla,100mg,syrup,true
hb cefi 100mg tablet,hb,Treatment of Bacterial infections,ANTI,54,250,Torrent,100mg,injection,true
histiwel 8mg tablet,histiwel,Treatment of Meniere's disease,NEURO,110,123,Sun Pharma,8mg,tablet,false
hemifill injection,hemifill,Treatment of Iron deficiency anemia,GYNAECOLOGICAL,73,400,Sun Pharma,250mg,injection,false
hyden 10 tablet,hyden,Treatment of Anxiety,RESPIRATORY,82,354,Zydus,200mg,tablet,true
hadran 20mg injection,hadran,Gastroesophageal reflux disease (Acid reflux),GASTRO,166,423,Abbott,20mg,capsule,false
hadnim-spas tablet,hadnim-spas,Abdominal pain,GASTRO,27,70,Torrent,650mg,tablet,true
hemstop-t injection,hemstop-t,Treatment of Bleeding,BLOOD,191,309,Abbott,100mg,syrup,false
