name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
esetinol 10mg tablet,esetinol,Treatment of Depression,NEURO,117,55,Lupin,10mg,injection,true
e fix 50mg syrup,e,Treatment of Bacterial infections,ANTI,33,219,Mankind,50mg,injection,false
exlla 100mg tablet dt,exlla,Treatment of Bacterial infections,ANTI,78,63,Sun Pharma,100mg,capsule,true
epiwarm 400mg tablet,epiwarm,Treatment of Parasitic infections,ANTI,62,301,Abbott,400mg,tablet,false
exime-sb 1500mg/750mg injection,exime-sb,Bacterial infections,ANTI,63,390,Sun Pharma,1500mg,syrup,false
ethyfos 500mg injection,ethyfos,Treatment of Dryness in the mouth after radiotherapy of head and neck cancer,BLOOD,171,110,Lupin,500mg,injection,true
easixan d 10mg/20mg capsule,easixan,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,198,267,Torrent,10mg,tablet,true
exone 1000mg injection,exone,Treatment of Bacterial infections,ANTI,168,72,Lupin,1000mg,injection,true
efatum 1000mg/1000mg injection,efatum,Treatment of Bacterial infections,ANTI,118,250,Alkem,1000mg,tablet,false
emnorm 850mg tablet,emnorm,Treatment of Type 2 diabetes mellitus,ANTI,187,329,Sun Pharma,850mg,tablet,false
emipep d 30mg/40mg capsule sr,emipep,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,138,235,Mankind,30mg,syrup,false
ezisartan o 40mg tablet,ezisartan,Hypertension (high blood pressure),CARDIAC,158,463,Sun Pharma,40mg,tablet,true
euorgan 25mg injection,euorgan,Treatment of Severe allergic reactions,GASTRO,194,469,Alkem,25mg,capsule,false
enofer 5mg injection,enofer,Treatment of Iron deficiency anemia,GYNAECOLOGICAL,119,364,Torrent,5mg,capsule,true
efprox cv tablet,efprox,Treatment of Respiratory tract infection,ANTI,39,286,Dr Reddy,200mg,syrup,true
eromit 120mg tablet,eromit,Pain relief,PAIN,94,122,Dr Reddy,120mg,injection,false
emmevoiz p 10mg/10mg/2.5mg tablet,emmevoiz,Treatment of Nausea and vomiting in pregnancy,GASTRO,126,380,Lupin,10mg,capsule,true
edox cv dry syrup,edox,Treatment of Respiratory tract infection,ANTI,154,455,Dr Reddy,500mg,capsule,true
eraxib p 60mg/325mg tablet,eraxib,Pain relief,PAIN,89,140,Sun Pharma,60mg,capsule,false
elbion gp 300mg/500mcg tablet,elbion,Treatment of Neuropathic pain,NEURO,143,186,Dr Reddy,300mg,tablet,true
exobob l 75mg/20mg capsule sr,exobob,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,125,319,Abbott,75mg,tablet,true
exocef 1000mg injection,exocef,Treatment of Bacterial infections,ANTI,35,185,Lupin,1000mg,capsule,true
etireg p 0.5mg/20mg tablet,etireg,Treatment of Anxiety disorder,NEURO,102,294,Sun Pharma,5mg,tablet,false
europen 1000mg injection,europen,Severe bacterial infections,ANTI,133,461,Abbott,1000mg,syrup,true
emonac mr 100mg/325mg/250mg tablet,emonac,Treatment of Muscular pain,PAIN,147,452,Sun Pharma,100mg,tablet,false
etoroux p 60mg/325mg tablet,etoroux,Pain relief,PAIN,98,75,Sun Pharma,60mg,capsule,false
exmite oz oral suspension,exmite,Diarrhea,GASTRO,34,214,Zydus,100mg,tablet,false
etrodal mr 60mg/4mg tablet,etrodal,Treatment of Pain due to muscle spasm,PAIN,33,334,Mankind,60mg,injection,true
eszomed d 30mg/40mg tablet,eszomed,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,61,313,Alkem,30mg,capsule,true
essemm-cold tablet,essemm-cold,Treatment of Common cold,RESPIRATORY,78,494,Sun Pharma,200mg,injection,true
embulide plus 100 mg/500 mg tablet,embulide,Pain relief,PAIN,22,113,Cipla,100 mg,tablet,false
eryn suspension,eryn,Treatment of Bacterial infections,ANTI,69,225,Sun Pharma,200mg,syrup,false
ets ev 200mg tablet,ets,Hormone replacement therapy,GYNAECOLOGICAL,97,479,Cipla,200mg,capsule,true
edomox 250mg tablet dt,edomox,Treatment of Bacterial infections,ANTI,64,413,Torrent,250mg,injection,true
equitrol forte 500mg capsule,equitrol,Treatment of Bacterial infections,ANTI,36,315,Dr Reddy,500mg,tablet,false
elecit 10mg tablet,elecit,Treatment of Allergic conditions,RESPIRATORY,53,417,Cipla,10mg,syrup,false
esnorab d 10mg/20mg tablet,esnorab,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,74,243,Dr Reddy,10mg,tablet,false
elof 250mg tablet,elof,Treatment of Bacterial infections,OPHTHAL,35,478,Sun Pharma,250mg,tablet,true
emisan 4mg tablet md,emisan,Treatment of Nausea,GASTRO,123,130,Sun Pharma,4mg,syrup,true
edoxim-cv 200mg/125mg tablet,edoxim-cv,Treatment of Respiratory tract infection,ANTI,58,373,Alkem,200mg,injection,true
