name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
klotfree a 75 tablet,klotfree,Prevention of heart attack and stroke,BLOOD,137,361,Dr Reddy,650mg,tablet,false
kinaplat 100mg infusion,kinaplat,Cancer of colon and rectum,ANTI,21,176,Sun Pharma,100mg,syrup,true
karnitine 500 tablet,karnitine,Carnitine deficiency,VITAMINS,127,342,Zydus,250mg,capsule,false
klavox 200 mg/28.5 mg dry syrup,klavox,Treatment of Resistance Tuberculosis (TB),ANTI,37,128,Dr Reddy,200 mg,tablet,false
kar-b 3.125mg tablet,kar-b,Treatment of Hypertension (high blood pressure),CARDIAC,120,237,Dr Reddy,125mg,injection,false
khich off syrup,khich,Dry cough,RESPIRATORY,174,64,Cipla,200mg,injection,true
keto add 2% cream,keto,Fungal skin infections,DERMA,122,452,Sun Pharma,100mg,tablet,true
ketax  lotion,ketax,Fungal skin infections,DERMA,53,480,Cipla,100mg,tablet,true
kuffcure syrup,kuffcure,Treatment of Dry cough,RESPIRATORY,175,87,Abbott,100mg,capsule,true
ketovib 2% cream,ketovib,Fungal skin infections,DERMA,78,274,Torrent,100mg,injection,false
kyodent dental gel,kyodent,Dental cavities,STOMATOLOGICALS,152,129,Zydus,500mg,injection,false
kricure-fc cream,kricure-fc,Treatment of Skin infections,DERMA,140,415,Lupin,250mg,capsule,true
kezone-s 1gm injection,kezone-s,Treatment of Bacterial infections,ANTI,104,363,Torrent,100mg,tablet,true
kpod 200mg tablet,kpod,Treatment of Bacterial infections,ANTI,168,142,Cipla,200mg,tablet,true
kaisryl tablet,kaisryl,Treatment of Common cold,RESPIRATORY,51,152,Dr Reddy,100mg,capsule,true
kacin 100mg injection,kacin,Bacterial infections,OPHTHAL,74,329,Cipla,100mg,syrup,true
kobal g 300mg/500mcg tablet,kobal,Treatment of Neuropathic pain,NEURO,168,494,Sun Pharma,300mg,capsule,false
krispraz d 30mg/40mg capsule sr,krispraz,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,107,360,Dr Reddy,30mg,tablet,true
ketorib 90mg tablet,ketorib,Pain relief,PAIN,20,358,Torrent,90mg,syrup,false
kelyrab-dsr capsule,kelyrab-dsr,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,129,475,Dr Reddy,200mg,syrup,true
