name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
dibto-am+ tablet,dibto-am+,Hypertension (high blood pressure),CARDIAC,53,178,Mankind,650mg,syrup,false
diclogod-mr tablet,diclogod-mr,Treatment of Pain due to muscle spasm,PAIN,40,494,Cipla,650mg,injection,false
domilev 500mg tablet,domilev,Treatment of Bacterial infections,OPHTHAL,20,205,Torrent,500mg,injection,true
domipod 50mg dry syrup,domipod,Treatment of Bacterial infections,ANTI,154,54,Zydus,50mg,capsule,true
drocium 40mg injection,drocium,Pain relief,GASTRO,140,499,Abbott,40mg,tablet,true
dipact 500mg/500mg injection,dipact,Treatment of Bacterial infections,ANTI,97,438,Alkem,500mg,tablet,false
dropimac m 80mg/250mg tablet,dropimac,Treatment of Abdominal pain,GASTRO,181,244,Dr Reddy,80mg,tablet,true
dotfix 50mg dry syrup,dotfix,Treatment of Bacterial infections,ANTI,177,387,Torrent,50mg,tablet,false
demofen sp 50mg/325mg/10mg tablet,demofen,Pain relief,PAIN,164,485,Cipla,50mg,injection,true
disermed mr 250mg/50mg/325mg tablet,disermed,Treatment of Pain due to muscle spasm,PAIN,41,110,Alkem,250mg,injection,true
dx-trox 500 injection,dx-trox,Treatment of Bacterial infections,ANTI,105,180,Torrent,100mg,injection,true
douther 150mg injection,douther,Malaria,ANTI,153,287,Mankind,150mg,tablet,true
djcort 6mg tablet,djcort,Treatment of Inflammatory conditions,HORMONES,66,469,Lupin,6mg,injection,true
doxowan m 400mg/10mg tablet sr,doxowan,Treatment and prevention of Asthma,RESPIRATORY,161,212,Lupin,400mg,capsule,false
diclovec 75mg injection,diclovec,Pain relief,PAIN,58,99,Sun Pharma,75mg,capsule,false
diclosung s 50mg/10mg tablet,diclosung,Pain relief,PAIN,145,437,Sun Pharma,50mg,capsule,true
dilomyd-sp tablet,dilomyd-sp,Pain relief,PAIN,65,141,Dr Reddy,500mg,capsule,false
dtan h 50mg/12.5mg tablet,dtan,Treatment of Hypertension (high blood pressure),CARDIAC,32,383,Abbott,50mg,injection,false
doculum-aq injection,doculum-aq,Pain relief,PAIN,160,61,Zydus,500mg,injection,true
doltan h 12.5mg/40mg tablet,doltan,Hypertension (high blood pressure),CARDIAC,26,102,Zydus,5mg,tablet,false
