name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
augmentin 625 duo tablet,augmentin,Treatment of Bacterial infections,ANTI,82,426,Cipla,500mg,injection,true
azithral 500 tablet,azithral,Treatment of Bacterial infections,ANTI,167,246,Dr Reddy,250mg,tablet,true
ascoril ls syrup,ascoril,Treatment of Cough with mucus,RESPIRATORY,133,216,Dr Reddy,200mg,tablet,false
allegra 120mg tablet,allegra,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,33,405,Sun Pharma,120mg,syrup,true
avil 25 tablet,avil,Treatment of Allergic conditions,RESPIRATORY,77,247,Sun Pharma,500mg,injection,true
allegra-m tablet,allegra-m,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,107,208,Mankind,100mg,tablet,false
amoxyclav 625 tablet,amoxyclav,Treatment of Bacterial infections,ANTI,188,334,Torrent,100mg,injection,false
azee 500 tablet,azee,Treatment of Bacterial infections,ANTI,51,292,Cipla,100mg,capsule,false
atarax 25mg tablet,atarax,Treatment of Anxiety,RESPIRATORY,92,377,Cipla,25mg,tablet,false
ascoril d plus syrup sugar free,ascoril,Treatment of Dry cough,RESPIRATORY,136,186,Torrent,250mg,syrup,true
aciloc 150 tablet,aciloc,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,76,93,Abbott,500mg,syrup,false
alex syrup,alex,Treatment of Dry cough,RESPIRATORY,165,417,Zydus,500mg,capsule,false
anovate cream,anovate,Treatment of Piles,DERMA,172,372,Alkem,100mg,tablet,false
augmentin duo oral suspension,augmentin,Treatment of Resistance Tuberculosis (TB),ANTI,55,383,Lupin,100mg,tablet,false
ambrodil-s syrup,ambrodil-s,Treatment of Cough,RESPIRATORY,88,403,Torrent,100mg,syrup,false
arkamin tablet,arkamin,Treatment of Hypertension (high blood pressure),CARDIAC,26,77,Alkem,650mg,capsule,true
avomine tablet,avomine,Treatment of Nausea,GASTRO,25,61,Abbott,500mg,tablet,true
asthakind-dx syrup sugar free,asthakind-dx,Treatment of Dry cough,RESPIRATORY,45,199,Zydus,500mg,tablet,false
allegra 180mg tablet,allegra,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,145,238,Abbott,180mg,capsule,true
albendazole 400mg tablet,albendazole,Treatment of Parasitic infections,ANTI,68,367,Abbott,400mg,capsule,true
asthalin syrup,asthalin,Treatment of Chronic obstructive pulmonary disease (COPD),RESPIRATORY,82,461,Dr Reddy,500mg,injection,false
alprax 0.25 tablet,alprax,Treatment of Anxiety,NEURO,153,383,Lupin,650mg,capsule,true
altraday capsule sr,altraday,Pain relief,PAIN,52,52,Alkem,500mg,tablet,true
ativan 2mg tablet,ativan,Treatment of Short term anxiety,RESPIRATORY,20,263,Zydus,2mg,tablet,true
ascoril ls junior syrup,ascoril,Treatment of Cough with mucus,RESPIRATORY,53,137,Mankind,200mg,capsule,false
asthalin 100mcg inhaler,asthalin,Treatment of Chronic obstructive pulmonary disease (COPD),RESPIRATORY,90,231,Mankind,250mg,tablet,false
almox 500 capsule,almox,Treatment of Bacterial infections,ANTI,156,216,Mankind,200mg,capsule,false
atarax 10mg tablet,atarax,Treatment of Anxiety,RESPIRATORY,142,211,Cipla,10mg,syrup,false
aciloc rd 20 tablet,aciloc,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,159,131,Torrent,650mg,capsule,true
aldactone tablet,aldactone,Hypertension (high blood pressure),CARDIAC,55,301,Alkem,250mg,injection,false
allegra suspension raspberry & vanilla,allegra,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,195,61,Dr Reddy,650mg,syrup,false
atarax syrup,atarax,Treatment of Anxiety,RESPIRATORY,91,172,Lupin,250mg,tablet,true
amlokind-at tablet,amlokind-at,Treatment of Hypertension (high blood pressure),CARDIAC,113,106,Sun Pharma,200mg,injection,false
axcer  90mg tablet,axcer,Prevention of heart attack and stroke,BLOOD,189,464,Torrent,90mg,injection,true
ativan 1mg tablet,ativan,Treatment of Short term anxiety,RESPIRATORY,51,300,Sun Pharma,1mg,syrup,true
alkasol oral solution,alkasol,Treatment of Gout,UROLOGY,53,488,Dr Reddy,650mg,tablet,true
aldigesic p 100mg/325mg tablet,aldigesic,Pain relief,PAIN,103,129,Abbott,100mg,syrup,false
alfoo 10mg tablet pr,alfoo,Treatment of Benign prostatic hyperplasia,UROLOGY,38,160,Dr Reddy,10mg,tablet,true
alprax 0.5mg tablet,alprax,Treatment of Anxiety,NEURO,77,259,Dr Reddy,5mg,capsule,false
arachitol 6l injection,arachitol,Treatment of Vitamin D deficiency,VITAMINS,36,127,Abbott,650mg,syrup,true
anafortan 25 mg/300 mg tablet,anafortan,Treatment of Abdominal pain,GASTRO,128,110,Mankind,25 mg,syrup,false
alex junior syrup,alex,Treatment of Dry cough,RESPIRATORY,188,290,Torrent,250mg,syrup,false
azithral 200 liquid,azithral,Treatment of Bacterial infections,ANTI,20,84,Cipla,250mg,injection,true
ab phylline capsule,ab,Chronic obstructive pulmonary disease (COPD),RESPIRATORY,178,131,Mankind,650mg,injection,true
althrocin 500 tablet,althrocin,Treatment of Bacterial infections,ANTI,143,439,Sun Pharma,200mg,tablet,false
augmentin dds suspension,augmentin,Treatment of Resistant Tuberculosis (TB),ANTI,168,258,Sun Pharma,200mg,tablet,true
azicip 500 tablet,azicip,Treatment of Bacterial infections,ANTI,25,143,Lupin,100mg,injection,false
aldigesic-sp tablet,aldigesic-sp,Pain relief,PAIN,110,464,Alkem,500mg,injection,false
amoxycillin 500mg capsule,amoxycillin,Treatment of Bacterial infections,ANTI,106,256,Mankind,500mg,tablet,false
asthakind expectorant sugar free,asthakind,Treatment of Cough with mucus,RESPIRATORY,40,417,Lupin,200mg,syrup,false
acemiz plus tablet,acemiz,Pain relief,PAIN,45,357,Lupin,200mg,tablet,false
aceclo plus tablet,aceclo,Pain relief,PAIN,104,382,Alkem,100mg,injection,false
anobliss cream,anobliss,Treatment of Anal fissure,PAIN,137,100,Lupin,200mg,tablet,false
alex cough lozenges lemon ginger,alex,Dry cough,RESPIRATORY,39,399,Dr Reddy,650mg,tablet,true
asthalin respules,asthalin,Treatment of Chronic obstructive pulmonary disease (COPD),RESPIRATORY,26,217,Torrent,650mg,injection,true
avil injection,avil,Treatment of Allergic conditions,RESPIRATORY,34,110,Torrent,250mg,syrup,true
azee 200mg dry syrup,azee,Treatment of Bacterial infections,ANTI,25,393,Zydus,200mg,tablet,true
