name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
ni sunate 50mg tablet,ni,Malaria,ANTI,43,232,Alkem,50mg,tablet,false
nazol d 10mg/30mg capsule,nazol,Gastroesophageal reflux disease (Acid reflux),GASTRO,26,466,Sun Pharma,10mg,syrup,true
n clomi plus 50mg/3mg tablet,n,Female infertility,GYNAECOLOGICAL,88,126,Cipla,50mg,capsule,false
noangina 6.4mg tablet cr,noangina,Treatment of Angina (heart-related chest pain),CARDIAC,171,239,Sun Pharma,4mg,capsule,true
nimogen plus tablet,nimogen,Pain relief,PAIN,24,373,Dr Reddy,100mg,injection,true
nimudar 100mg tablet md,nimudar,Pain relief,PAIN,74,141,Lupin,100mg,injection,false
nescol eye drop,nescol,Treatment of Bacterial eye infections,OPHTHAL,62,433,Dr Reddy,100mg,capsule,true
nuzole 2% shampoo,nuzole,Treatment of Fungal infections,OPHTHAL,87,354,Zydus,100mg,tablet,true
noben i 6mg/400mg tablet,noben,Treatment of Worm infections,ANTI,30,140,Cipla,6mg,capsule,true
novo ac kid oral suspension,novo,Treatment of Fever,PAIN,180,270,Mankind,100mg,capsule,true
novo oral drops,novo,Pain relief,PAIN,84,171,Cipla,500mg,syrup,true
nemochem 100mg/325mg tablet,nemochem,Pain relief,PAIN,197,53,Dr Reddy,100mg,tablet,false
niticold cz 5mg/325mg/5mg tablet,niticold,Treatment of Common cold,RESPIRATORY,160,237,Alkem,5mg,capsule,true
normide 400mg tablet,normide,Bacterial infections,ANTI,47,416,Alkem,400mg,syrup,true
nurohist 16mg tablet,nurohist,Treatment of Meniere's disease,NEURO,91,434,Sun Pharma,16mg,tablet,false
nocecip pm 750mcg/75mg capsule,nocecip,Treatment of Neuropathic pain,NEURO,65,301,Sun Pharma,75mg,capsule,true
nixcob 90mg tablet,nixcob,Pain relief,PAIN,78,341,Zydus,90mg,capsule,false
nimusen 100mg tablet md,nimusen,Pain relief,PAIN,70,257,Sun Pharma,100mg,tablet,true
nimolink-p tablet,nimolink-p,Pain relief,PAIN,200,430,Torrent,200mg,capsule,false
nextki 100mg tablet,nextki,Blood cancer (Chronic myeloid leukaemia),ANTI,67,132,Dr Reddy,100mg,syrup,false
nervilead gb 300mg/500mcg tablet,nervilead,Treatment of Neuropathic pain,NEURO,146,266,Sun Pharma,300mg,tablet,false
nimned-p tablet,nimned-p,Pain relief,PAIN,136,492,Abbott,500mg,capsule,false
novfix 200mg tablet,novfix,Treatment of Bacterial infections,ANTI,51,399,Cipla,200mg,injection,true
nazoport oral suspension,nazoport,Treatment of Common cold,RESPIRATORY,32,464,Torrent,250mg,syrup,false
nimwik p tablet,nimwik,Pain relief,PAIN,159,347,Abbott,650mg,tablet,true
naprowan d 500mg/10mg tablet,naprowan,Prevention of Migraine,PAIN,22,86,Zydus,500mg,capsule,false
nimsfen p tablet,nimsfen,Pain relief,PAIN,64,344,Mankind,100mg,capsule,false
nervjet-aq injection,nervjet-aq,Treatment of Nutritional deficiencies,VITAMINS,32,474,Zydus,500mg,capsule,true
neonac t 100mg/8mg tablet,neonac,Treatment of Pain due to muscle spasm,PAIN,157,495,Torrent,100mg,syrup,false
n doxim 100mg tablet,n,Treatment of Bacterial infections,ANTI,64,417,Cipla,100mg,syrup,false
nemiva-p tablet,nemiva-p,Pain relief,PAIN,182,354,Zydus,500mg,injection,true
nimvax sp tablet,nimvax,Pain relief,PAIN,179,231,Mankind,200mg,injection,true
n levo 500mg tablet,n,Treatment of Bacterial infections,OPHTHAL,157,363,Dr Reddy,500mg,tablet,false
nimcop 100mg tablet,nimcop,Pain relief,PAIN,141,329,Abbott,100mg,syrup,false
neurotor injection,neurotor,Alzheimer's disease,NEURO,144,341,Cipla,100mg,capsule,false
nicofax 3mg tablet,nicofax,Treatment and prevention of Blood clots,CARDIAC,124,119,Cipla,3mg,tablet,true
nevimox sb 250mg/250mg tablet,nevimox,Bacterial infections,ANTI,146,292,Zydus,250mg,capsule,false
nuezane forte injection,nuezane,Treatment of Bacterial infections,ANTI,168,242,Alkem,100mg,capsule,false
nebimet 5mg tablet,nebimet,Treatment of Hypertension (high blood pressure),CARDIAC,30,194,Cipla,5mg,syrup,true
nycfix 200 tablet dt,nycfix,Treatment of Bacterial infections,ANTI,95,368,Zydus,650mg,injection,false
